Date,Open,High,Low,Close,Adj Close,Volume
2009-10-01,7.000000,7.010000,7.000000,7.010000,3.437819,3000
2009-11-01,7.020000,8.750000,6.900000,8.750000,4.291144,380100
2009-12-01,8.500000,9.150000,7.550000,9.150000,4.526918,52400
2010-01-01,9.150000,9.990000,8.550000,8.750000,4.364136,77900
2010-02-01,8.750000,9.300000,8.750000,9.140000,4.596283,122800
2010-03-01,9.140000,9.300000,8.930000,9.220000,4.672937,369400
2010-04-01,9.240000,9.900000,9.180000,9.350000,4.780395,225300
2010-05-01,9.430000,9.470000,8.950000,9.200000,4.743692,847200
2010-06-01,9.200000,9.890000,9.130000,9.500000,4.941347,301800
2010-07-01,9.740000,9.970000,9.450000,9.700000,5.086946,141000
2010-08-01,9.750000,10.250000,9.720000,9.900000,5.234562,300500
2010-09-01,9.900000,10.470000,9.750000,10.400000,5.543280,246600
2010-10-01,10.180000,10.980000,10.180000,10.800000,5.800931,200300
2010-11-01,11.100000,11.300000,10.500000,11.100000,6.006561,576800
2010-12-01,11.000000,11.990000,11.000000,11.640000,6.346045,513800
2011-01-01,11.750000,13.250000,11.750000,13.000000,7.139554,481400
2011-02-01,12.830000,13.740000,12.830000,13.000000,7.187776,286000
2011-03-01,13.150000,13.450000,12.230000,13.400000,7.456733,410900
2011-04-01,13.440000,14.130000,12.870000,14.050000,7.868922,627900
2011-05-01,14.100000,16.650000,13.950000,15.900000,8.960036,1163200
2011-06-01,15.870000,16.500000,15.500000,16.020000,9.076674,601300
2011-07-01,16.240000,16.980000,16.000000,16.100000,9.171217,467400
2011-08-01,16.150000,16.889999,13.710000,15.950000,9.133807,459800
2011-09-01,16.049999,16.350000,15.160000,15.890000,9.148357,262000
2011-10-01,15.890000,16.980000,14.770000,16.610001,9.614474,414200
2011-11-01,16.600000,17.469999,16.299999,16.930000,9.855769,599600
2011-12-01,17.129999,18.370001,16.620001,18.000000,10.538080,623100
2012-01-01,18.240000,19.000000,17.600000,18.500000,10.890230,856400
2012-02-01,18.500000,18.750000,18.260000,18.500000,10.945836,911900
2012-03-01,18.590000,18.620001,16.100000,18.570000,11.043666,830200
2012-04-01,18.600000,19.490000,18.420000,18.950001,11.327689,640100
2012-05-01,19.000000,20.930000,19.000000,20.270000,12.177279,631600
2012-06-01,19.990000,21.889999,19.750000,21.080000,12.723579,573100
2012-07-01,21.320000,24.000000,21.180000,23.500000,14.254581,1845700
2012-08-01,23.690001,24.360001,22.980000,23.600000,14.376182,442600
2012-09-01,23.670000,23.670000,22.910000,23.299999,14.253320,637800
2012-10-01,23.330000,23.549999,18.750000,22.500000,13.822883,904600
2012-11-01,22.400000,23.690001,21.850000,23.690001,14.619310,688300
2012-12-01,23.610001,23.719999,22.000000,23.709999,14.694209,596900
2013-01-01,24.209999,26.490000,24.030001,25.410000,15.818766,1692000
2013-02-01,25.420000,28.799999,25.299999,28.280001,17.679037,979800
2013-03-01,28.490000,30.330000,27.680000,28.209999,17.702160,1030500
2013-04-01,28.570000,29.200001,26.530001,26.950001,16.973799,823100
2013-05-01,26.629999,32.820000,26.590000,32.820000,20.747322,1138100
2013-06-01,32.820000,34.279999,30.110001,31.879999,20.221495,1336000
2013-07-01,31.750000,34.549999,31.600000,34.000000,21.646214,704800
2013-08-01,34.240002,34.889999,32.700001,34.500000,22.043024,1676400
2013-09-01,34.480000,36.500000,34.040001,35.799999,22.954042,3894500
2013-10-01,35.799999,36.000000,34.740002,35.580002,22.890882,1518300
2013-11-01,35.369999,37.689999,35.369999,36.060001,23.277725,1395100
2013-12-01,35.950001,36.000000,28.000000,29.870001,19.345877,3626200
2014-01-01,29.900000,32.250000,23.990000,24.490000,15.924709,4087400
2014-02-01,24.500000,29.879999,23.790001,29.860001,19.506851,2606400
2014-03-01,29.790001,31.270000,29.090000,29.900000,19.615488,1679200
2014-04-01,29.980000,30.280001,26.049999,26.750000,17.618814,1599800
2014-05-01,26.750000,29.440001,26.660000,27.270000,18.041494,1860600
2014-06-01,27.900000,29.620001,26.670000,28.920000,19.216011,2263800
2014-07-01,28.850000,32.139999,28.100000,31.590000,21.081413,3269800
2014-08-01,31.580000,33.529999,31.160000,33.049999,22.144762,2573700
2014-09-01,32.959999,33.840000,30.430000,31.010000,20.856192,2434400
2014-10-01,31.000000,33.910000,27.600000,33.770000,22.804520,3444000
2014-11-01,33.480000,34.910000,31.410000,34.790001,23.585161,2674700
2014-12-01,34.650002,37.180000,32.849998,35.360001,24.059023,2603300
2015-01-01,35.119999,37.200001,32.380001,33.299999,22.734909,3501900
2015-02-01,33.209999,35.180000,31.889999,32.360001,22.174143,1830200
2015-03-01,32.380001,34.349998,30.740000,33.020000,22.712700,1607900
2015-04-01,33.020000,35.500000,32.830002,34.750000,23.992994,1367000
2015-05-01,34.790001,35.049999,30.950001,31.490000,21.820299,1842700
2015-06-01,31.500000,34.250000,29.910000,30.490000,21.212770,3174400
2015-07-01,30.500000,32.000000,28.309999,29.990000,20.952599,2370200
2015-08-01,30.190001,30.270000,25.500000,26.920000,18.891771,1836100
2015-09-01,26.770000,29.490000,25.450001,26.959999,19.016569,2335200
2015-10-01,27.059999,28.860001,26.459999,27.820000,19.716579,1928600
2015-11-01,28.030001,28.030001,24.000000,24.350000,17.341961,2813700
2015-12-01,24.360001,24.490000,21.549999,23.500000,16.827982,5113700
2016-01-01,23.260000,24.000000,21.000000,23.770000,17.116333,2716500
2016-02-01,23.870001,25.610001,22.110001,24.629999,17.842085,2816500
