Date,Open,High,Low,Close,Adj Close,Volume
2001-07-01,10.240000,10.500000,10.000000,10.350000,1.882706,1412700
2001-08-01,10.400000,11.220000,10.300000,11.020000,2.004582,1305100
2001-09-01,11.020000,11.400000,10.400000,10.860000,1.999871,848800
2001-10-01,10.950000,11.190000,10.500000,10.800000,2.005613,1029300
2001-11-01,10.880000,11.800000,10.770000,11.350000,2.125380,1379600
2001-12-01,11.330000,12.450000,11.330000,11.750000,2.217795,602100
2002-01-01,11.750000,12.750000,11.750000,12.650000,2.405709,996200
2002-02-01,12.500000,14.190000,12.370000,13.850000,2.652718,1136600
2002-03-01,13.900000,14.240000,13.650000,14.100000,2.718419,916100
2002-04-01,14.200000,14.400000,13.480000,14.000000,2.716603,974000
2002-05-01,13.870000,14.930000,13.870000,14.400000,2.814108,494600
2002-06-01,14.450000,14.790000,14.150000,14.500000,2.852994,312700
2002-07-01,14.500000,14.990000,12.750000,14.260000,2.825093,677400
2002-08-01,14.750000,14.750000,13.600000,14.010000,2.795678,955200
2002-09-01,14.010000,14.800000,13.630000,14.520000,2.918116,391500
2002-10-01,14.530000,14.990000,14.000000,14.990000,3.033712,591000
2002-11-01,14.860000,14.990000,13.760000,14.200000,2.893315,379600
2002-12-01,14.300000,14.500000,13.520000,14.000000,2.872924,667000
2003-01-01,14.000000,15.400000,14.000000,15.250000,3.151568,757900
2003-02-01,15.280000,15.580000,14.750000,15.180000,3.159894,859000
2003-03-01,15.180000,15.180000,14.200000,14.600000,3.061996,349400
2003-04-01,14.590000,15.700000,14.160000,15.640000,3.304673,480400
2003-05-01,15.260000,15.650000,14.450000,15.000000,3.192112,732800
2003-06-01,14.800000,15.690000,14.370000,15.150000,3.247076,753100
2003-07-01,15.150000,15.500000,14.710000,15.400000,3.323963,2647100
2003-08-01,15.450000,15.780000,14.930000,15.610000,3.393573,1166300
2003-09-01,15.610000,16.900000,15.550000,16.000000,3.502777,1237900
2003-10-01,16.000000,16.799999,16.000000,16.700001,3.680726,1304100
2003-11-01,16.719999,17.950001,16.719999,17.840000,3.957901,1026900
