Date,Open,High,Low,Close,Adj Close,Volume
1995-01-01,1.485000,1.625000,1.343750,1.406250,0.799783,48084000
1995-02-01,1.391250,1.797500,1.375000,1.766250,1.004528,70912800
1995-03-01,1.766250,2.110000,1.610000,1.985000,1.128939,54789600
1995-04-01,1.985000,2.141250,1.937500,2.110000,1.200031,43111200
1995-05-01,2.125000,2.250000,2.062500,2.156250,1.226335,35986400
1995-06-01,2.141250,2.266250,1.906250,2.016250,1.146712,28972800
1995-07-01,2.000000,2.156250,1.968750,2.016250,1.146712,28277600
1995-08-01,2.016250,2.110000,1.937500,1.985000,1.128939,21284000
1995-09-01,1.985000,2.078750,1.968750,2.047500,1.164485,34703200
1995-10-01,2.016250,2.031250,1.781250,1.985000,1.128939,20380800
1995-11-01,1.985000,2.360000,1.968750,2.297500,1.306669,41224000
1995-12-01,2.312500,2.531250,2.266250,2.500000,1.421838,29281600
1996-01-01,2.468750,2.656250,2.406250,2.578750,1.466626,40201600
1996-02-01,2.562500,3.093750,2.547500,2.812500,1.599567,69357600
1996-03-01,2.812500,3.000000,2.625000,2.937500,1.670659,36440800
1996-04-01,2.921250,3.031250,2.812500,2.881250,1.638668,47667200
1996-05-01,2.862500,2.956250,2.687500,2.956250,1.681324,40328000
1996-06-01,2.931250,3.218750,2.906250,3.181250,1.809289,91263200
1996-07-01,3.218750,3.425000,3.187500,3.212500,1.827062,85365600
1996-08-01,3.206250,3.543750,3.206250,3.506250,1.994128,66193600
1996-09-01,3.506250,3.843750,3.506250,3.825000,2.175412,50137600
1996-10-01,3.812500,4.300000,3.812500,4.162500,2.367359,122507200
1996-11-01,4.162500,4.925000,3.968750,4.625000,2.630400,85870400
1996-12-01,4.625000,4.812500,4.275000,4.700000,2.673055,58266400
1997-01-01,4.687500,5.012500,4.543750,4.800000,2.729929,103101600
1997-02-01,4.800000,4.843750,3.937500,4.075000,2.317595,122373600
1997-03-01,4.037500,4.425000,4.037500,4.187500,2.381577,30864000
1997-04-01,4.125000,4.268750,3.800000,4.162500,2.367359,49843200
1997-05-01,4.187500,4.750000,4.168750,4.531250,2.577081,32958400
1997-06-01,4.531250,4.812500,4.412500,4.481250,2.548645,58547200
1997-07-01,4.468750,4.675000,4.187500,4.637500,2.637509,55683200
1997-08-01,4.656250,4.737500,4.406250,4.468750,2.541536,57528000
1997-09-01,4.437500,5.343750,4.437500,5.093750,2.896993,88458400
1997-10-01,5.068750,5.531250,4.381250,5.125000,2.914768,68208000
1997-11-01,5.137500,5.156250,3.875000,3.943750,2.242949,83546400
1997-12-01,3.812500,4.312500,3.612500,3.825000,2.175412,53540000
1998-01-01,3.781250,3.850000,3.031250,3.562500,2.026119,94852800
1998-02-01,3.531250,3.687500,3.118750,3.562500,2.026119,64592000
1998-03-01,3.618750,3.937500,3.093750,3.687500,2.097210,113299200
1998-04-01,3.675000,3.937500,3.593750,3.843750,2.186075,43897600
1998-05-01,3.843750,3.937500,3.312500,3.343750,1.901708,45130400
1998-06-01,3.375000,3.412500,2.868750,3.150000,1.791516,54949600
1998-07-01,3.125000,3.375000,2.937500,2.975000,1.691987,37504800
1998-08-01,2.987500,2.993750,2.281250,2.312500,1.315200,44071200
1998-09-01,2.312500,3.225000,2.300000,3.125000,1.777298,105542400
1998-10-01,3.062500,3.387500,2.575000,3.375000,1.919481,65666400
1998-11-01,3.381250,3.656250,2.800000,2.918750,1.659996,92344000
1998-12-01,2.875000,2.968750,2.662500,2.875000,1.635113,58888800
1999-01-01,2.987500,3.325000,2.787500,2.937500,1.670659,41875200
1999-02-01,2.937500,3.125000,2.537500,2.606250,1.482266,65927200
1999-03-01,2.625000,3.531250,2.475000,3.250000,1.848389,111679200
1999-04-01,3.225000,3.781250,3.031250,3.575000,2.033229,88246400
1999-05-01,3.600000,3.693750,3.325000,3.387500,1.926591,56836800
1999-06-01,3.356250,3.681250,3.256250,3.625000,2.061665,102334400
1999-07-01,3.681250,4.031250,3.631250,3.981250,2.264277,57529600
1999-08-01,3.981250,4.800000,3.981250,4.625000,2.630400,90584800
1999-09-01,4.618750,4.825000,4.081250,4.300000,2.445562,65061600
1999-10-01,4.362500,4.493750,3.893750,4.050000,2.303377,55294400
1999-11-01,4.050000,4.681250,3.975000,4.168750,2.370914,66939200
1999-12-01,4.106250,4.593750,3.818750,4.406250,2.505989,56590400
2000-01-01,4.312500,4.937500,4.050000,4.187500,2.381577,82594400
2000-02-01,4.250000,4.431250,3.725000,3.875000,2.203849,109817600
2000-03-01,3.893750,4.875000,3.893750,4.800000,2.729929,112096000
2000-04-01,4.756250,5.062500,4.475000,4.937500,2.808130,58440000
2000-05-01,4.918750,6.181250,4.862500,5.937500,3.376865,94992000
2000-06-01,5.718750,6.100000,5.281250,5.375000,3.056951,131680000
2000-07-01,5.343750,5.843750,5.031250,5.212500,2.964533,80453600
2000-08-01,5.281250,6.275000,5.093750,5.937500,3.376865,96804000
2000-09-01,5.956250,7.025000,5.850000,6.300000,3.583031,106191200
2000-10-01,6.300000,6.531250,5.468750,5.625000,3.199134,91532000
2000-11-01,5.625000,5.718750,5.037500,5.312500,3.021405,90611200
2000-12-01,5.318750,5.781250,4.656250,5.187500,2.950314,79399200
2001-01-01,5.400000,5.568750,4.918750,5.468750,3.110270,80105600
2001-02-01,5.500000,6.112500,5.356250,5.412500,3.078278,107036000
2001-03-01,5.468750,6.287500,5.412500,5.706250,3.245345,109756800
2001-04-01,5.750000,6.150000,5.450000,5.982500,3.459822,83724800
2001-05-01,6.000000,6.543750,5.388750,6.500000,3.759106,134321600
2001-06-01,6.463750,6.493750,5.362500,5.606250,3.242228,81048000
2001-07-01,5.541250,5.762500,5.132500,5.656250,3.324771,59005600
2001-08-01,5.742500,6.186250,5.287500,5.287500,3.108018,54878400
2001-09-01,5.417500,6.000000,4.706250,4.845000,2.847913,80740000
2001-10-01,4.791250,5.656250,4.750000,5.306250,3.119039,82001600
2001-11-01,5.268750,5.456250,4.487500,4.915000,2.889060,104053600
2001-12-01,4.837500,5.093750,4.565000,4.788750,2.814849,89766400
2002-01-01,4.786250,5.231250,4.700000,5.175000,3.106799,106796000
2002-02-01,5.170000,6.087500,5.150000,5.843750,3.508282,80374400
2002-03-01,5.842500,6.631250,5.840000,6.450000,3.872241,95496000
2002-04-01,6.562500,6.817500,5.825000,6.500000,3.984413,96892000
2002-05-01,6.488750,6.686250,6.112500,6.275000,3.846491,132758400
2002-06-01,6.275000,6.550000,5.975000,6.440000,3.947635,95145600
2002-07-01,6.506250,6.625000,5.512500,6.411250,4.013451,118308800
2002-08-01,6.411250,6.738750,6.283750,6.462500,4.045534,79628800
2002-09-01,6.462500,6.462500,6.007500,6.293750,3.939895,75724800
2002-10-01,6.293750,6.312500,5.156250,5.318750,3.396069,144560000
2002-11-01,5.400000,5.437500,4.850000,5.125000,3.272358,113821600
2002-12-01,5.187500,5.923750,5.127500,5.850000,3.735276,93446400
2003-01-01,5.873750,6.050000,5.650000,5.937500,3.879106,140424000
2003-02-01,5.930000,6.432500,5.881250,6.393750,4.177186,88507200
2003-03-01,6.341250,6.612500,5.940000,6.268750,4.095518,130939200
2003-04-01,6.250000,6.331250,5.818750,5.975000,3.994212,78576000
2003-05-01,5.952500,6.668750,5.952500,6.650000,4.445442,98564000
2003-06-01,6.671250,7.173750,6.585000,6.718750,4.491401,115212800
2003-07-01,6.633750,6.868750,6.403750,6.650000,4.542364,68812800
2003-08-01,6.612500,7.161250,6.612500,6.716250,4.587616,67091200
2003-09-01,6.717500,6.962500,6.436250,6.948750,4.746428,108823200
2003-10-01,6.906250,7.456250,6.876250,6.998750,4.889211,80938400
2003-11-01,7.027500,7.262500,6.663750,7.218750,5.042899,93168800
2003-12-01,7.168750,8.402500,7.132500,8.171250,5.708298,100896800
2004-01-01,8.181250,8.975000,7.977500,8.000000,5.700532,96926400
2004-02-01,8.043750,9.231250,7.998750,9.156250,6.524437,77730400
2004-03-01,9.212500,9.562500,8.775000,9.087500,6.475451,101351200
2004-04-01,9.106250,10.206250,9.106250,9.425000,6.862041,97944800
2004-05-01,9.487500,10.212500,8.770000,9.250000,6.734628,115694000
2004-06-01,9.350000,10.287500,8.815000,10.012500,7.289782,108313600
2004-07-01,9.937500,11.067500,9.937500,11.062500,8.138963,65164400
2004-08-01,11.350000,11.362500,10.130000,10.677500,7.855710,89689200
2004-09-01,10.675000,12.760000,10.437500,12.625000,9.288533,104503200
2004-10-01,12.625000,13.787500,12.152500,12.820000,9.518854,109141200
2004-11-01,12.975000,13.082500,11.475000,12.757500,9.472448,125044000
2004-12-01,12.757500,12.975000,11.375000,12.812500,9.513283,115196000
2005-01-01,12.387500,13.925000,12.137500,13.685000,10.244765,93942400
2005-02-01,13.685000,18.562500,13.650000,17.522499,13.117571,123448400
2005-03-01,17.549999,18.687500,15.947500,17.090000,12.793796,118931200
2005-04-01,17.652500,17.969999,15.267500,15.600000,11.754906,105214000
2005-05-01,15.475000,18.799999,15.475000,18.125000,13.657548,91748400
2005-06-01,18.400000,23.490000,18.340000,22.200001,16.728136,106468000
2005-07-01,23.094999,25.725000,22.760000,25.500000,19.269802,104962200
2005-08-01,26.125000,29.980000,25.305000,29.235001,22.092278,114015600
2005-09-01,29.299999,30.000000,25.625000,26.250000,19.836571,99300000
2005-10-01,26.370001,26.670000,21.775000,24.145000,18.286684,132038000
2005-11-01,24.125000,29.120001,24.125000,26.434999,20.021053,109126400
2005-12-01,26.655001,31.000000,26.655001,28.815001,21.823603,63120400
2006-01-01,28.950001,35.825001,28.875000,35.299999,26.788458,80260600
2006-02-01,35.049999,36.955002,29.480000,31.045000,23.559422,99936000
2006-03-01,31.344999,34.465000,30.875000,32.450001,24.625643,86344000
2006-04-01,32.994999,36.349998,32.790001,33.599998,25.556574,56823200
2006-05-01,34.119999,34.685001,27.195000,29.000000,22.057753,105345600
2006-06-01,29.025000,31.375000,25.389999,30.860001,23.472492,95131400
2006-07-01,31.105000,31.299999,27.295000,30.049999,22.923149,63253600
2006-08-01,30.125000,31.650000,28.445000,29.014999,22.133615,74785200
2006-09-01,29.245001,29.295000,23.639999,25.469999,19.429377,112664000
2006-10-01,25.205000,30.365000,22.745001,29.225000,22.360826,98731600
2006-11-01,28.879999,31.250000,27.105000,30.950001,23.680670,84305200
2006-12-01,30.584999,31.750000,29.320000,31.075001,23.776316,51212600
2007-01-01,31.075001,31.299999,26.225000,29.420000,22.565500,94591800
2007-02-01,29.650000,30.594999,28.809999,29.365000,22.523312,68240600
2007-03-01,29.365000,32.750000,28.504999,31.875000,24.448509,70770400
2007-04-01,31.985001,34.270000,31.855000,33.070000,25.437229,49422200
2007-05-01,33.244999,36.154999,32.740002,35.544998,27.340992,61938000
2007-06-01,35.595001,37.494999,33.505001,35.389999,27.221758,76686200
2007-07-01,35.490002,38.900002,35.020000,36.605000,28.225317,59202800
2007-08-01,36.375000,36.759998,32.715000,36.095001,27.832064,74072000
2007-09-01,35.775002,40.009998,35.625000,37.779999,29.131327,67854400
2007-10-01,37.750000,39.490002,35.525002,39.279999,30.358027,89081600
2007-11-01,38.900002,39.955002,32.250000,32.459999,25.087101,93525200
2007-12-01,32.119999,36.860001,32.119999,36.290001,28.047165,50145000
2008-01-01,36.950001,37.994999,29.440001,32.105000,24.875597,87730000
2008-02-01,31.905001,38.000000,30.084999,36.880001,28.575380,96455600
2008-03-01,36.930000,38.400002,32.000000,35.134998,27.223305,83828200
2008-04-01,34.320000,44.180000,34.040001,42.775002,33.233509,88102600
2008-05-01,42.349998,53.435001,40.750000,48.619999,37.774700,101204400
2008-06-01,48.005001,55.650002,47.365002,50.419998,39.173191,99502400
2008-07-01,51.775002,52.415001,38.150002,40.005001,31.141983,122796200
2008-08-01,40.005001,45.750000,36.945000,45.320000,35.279442,101700800
2008-09-01,43.445000,44.799999,32.200001,36.500000,28.413506,149244000
2008-10-01,35.779999,36.445000,20.700001,30.410000,23.736450,164531200
2008-11-01,30.400000,32.025002,17.094999,26.000000,20.294233,143988800
2008-12-01,24.469999,24.615000,18.375000,24.375000,19.025845,118232200
2009-01-01,24.559999,28.600000,20.530001,21.945000,17.213285,101409400
2009-02-01,21.700001,24.219999,18.250000,20.450001,16.040634,100253600
2009-03-01,19.855000,26.750000,17.924999,24.455000,19.182091,145015200
2009-04-01,24.000000,30.575001,23.850000,27.504999,21.673399,93176400
2009-05-01,27.700001,32.845001,27.635000,32.355000,25.495104,90023000
2009-06-01,33.299999,34.345001,27.040001,30.594999,24.108257,86764000
2009-07-01,29.695000,33.095001,26.355000,32.380001,25.599173,73919800
2009-08-01,33.375000,34.270000,30.775000,31.355000,24.788818,59948600
2009-09-01,31.139999,38.455002,30.325001,36.150002,28.579676,88824000
2009-10-01,36.270000,39.500000,33.689999,35.110001,27.846472,65909600
2009-11-01,35.205002,36.575001,33.255001,35.235001,27.945614,71469000
2009-12-01,35.900002,38.230000,32.985001,38.000000,30.138603,61616800
2010-01-01,38.384998,38.700001,33.810001,34.125000,27.150465,49529000
2010-02-01,34.275002,36.849998,33.830002,35.439999,28.196711,50167000
2010-03-01,35.779999,37.875000,35.750000,37.584999,29.903311,60906600
2010-04-01,38.000000,40.080002,37.759998,39.115002,31.245865,60468600
2010-05-01,39.500000,39.805000,33.090000,37.250000,29.756067,79900900
2010-06-01,36.970001,38.869999,34.930000,35.330002,28.222332,57035100
2010-07-01,35.330002,37.349998,34.000000,35.400002,28.336926,42150700
2010-08-01,36.240002,37.000000,31.969999,34.299999,27.456394,62882200
2010-09-01,34.700001,36.130001,32.900002,35.590000,28.489019,57700000
2010-10-01,35.990002,38.070000,35.799999,37.130001,29.785765,51712900
2010-11-01,37.450001,40.730000,37.009998,39.490002,31.678953,44862100
2010-12-01,40.000000,45.000000,39.950001,44.349998,35.577663,41169600
2011-01-01,44.660000,44.980000,40.049999,44.650002,35.880878,72141600
2011-02-01,44.400002,49.330002,43.200001,48.930000,39.320305,51786000
2011-03-01,48.849998,50.500000,43.110001,47.939999,38.524746,64235500
2011-04-01,48.200001,48.410000,41.849998,44.509998,35.838512,63689100
2011-05-01,44.400002,44.889999,38.919998,42.169998,33.954388,72636400
2011-06-01,42.400002,42.430000,37.430000,40.430000,32.553375,60499100
2011-07-01,40.580002,42.139999,38.310001,38.580002,31.134933,42209500
2011-08-01,38.549999,38.560001,32.740002,37.000000,29.859835,79678200
2011-09-01,37.110001,37.430000,29.799999,30.770000,24.832088,77220500
2011-10-01,30.100000,36.580002,27.250000,35.160000,28.450649,75046100
2011-11-01,33.310001,39.410000,33.279999,38.310001,30.999557,82671700
2011-12-01,38.000000,38.880001,34.750000,38.150002,30.870085,56311900
2012-01-01,38.590000,40.689999,37.180000,39.720001,32.219341,57939900
2012-02-01,39.900002,41.119999,36.090000,36.730000,29.793957,71164500
2012-03-01,36.860001,37.470001,32.099998,33.060001,26.816998,80022700
2012-04-01,33.369999,34.369999,30.730000,34.320000,27.924753,55983600
2012-05-01,34.419998,34.880001,29.059999,29.660000,24.133097,55898200
2012-06-01,28.799999,30.299999,25.969999,27.309999,22.221004,74010900
2012-07-01,28.090000,29.049999,25.580000,27.350000,22.338352,67693500
2012-08-01,27.629999,32.680000,26.730000,29.990000,24.494587,53491100
2012-09-01,30.100000,33.970001,29.040001,30.330000,24.772291,54277000
2012-10-01,30.580000,31.520000,29.290001,30.100000,24.664917,44423800
2012-11-01,30.340000,30.500000,26.879999,28.590000,23.427568,58320300
2012-12-01,28.799999,29.110001,27.400000,28.639999,23.468538,55752100
2013-01-01,29.230000,31.639999,28.660000,30.120001,24.773153,62997700
2013-02-01,30.240000,31.809999,29.770000,31.520000,25.924627,43706100
2013-03-01,31.209999,33.910000,30.469999,32.570000,26.788235,72335800
2013-04-01,32.740002,32.860001,29.209999,29.549999,24.399673,72119800
2013-05-01,29.299999,32.430000,28.780001,30.900000,25.514381,58225300
2013-06-01,30.450001,30.790001,28.440001,29.650000,24.482246,53646900
2013-07-01,29.730000,34.630001,29.719999,31.830000,26.394016,102202100
2013-08-01,32.349998,33.049999,30.450001,32.139999,26.651077,39785900
2013-09-01,32.450001,33.099998,31.940001,32.369999,26.841795,35219900
2013-10-01,32.250000,34.049999,31.730000,33.090000,27.545040,43827700
2013-11-01,33.139999,35.549999,31.920000,34.580002,28.785357,50984900
2013-12-01,34.580002,36.040001,33.669998,35.939999,29.917465,47921800
2014-01-01,35.439999,37.000000,34.720001,36.520000,30.575182,72643900
2014-02-01,36.480000,41.700001,35.720001,40.520000,33.924038,51126500
2014-03-01,40.259998,42.490002,39.250000,42.369999,35.472897,50449800
2014-04-01,42.500000,45.599998,42.200001,44.660000,37.601318,44128000
2014-05-01,44.709999,45.220001,42.599998,44.130001,37.155094,37421800
2014-06-01,44.220001,49.220001,44.209999,49.029999,41.280621,46041800
2014-07-01,48.919998,49.570000,46.980000,47.529999,40.238979,44603900
2014-08-01,47.380001,47.529999,43.930000,47.389999,40.120461,44063900
2014-09-01,47.049999,47.419998,42.889999,43.509998,36.835648,60919800
2014-10-01,43.259998,43.750000,34.910000,39.330002,33.464657,96930400
2014-11-01,39.299999,43.099998,36.180000,37.959999,32.298958,74950800
2014-12-01,37.549999,40.099998,31.000000,35.919998,30.563198,92994800
2015-01-01,35.360001,37.240002,31.200001,36.840000,31.543310,76424800
2015-02-01,37.439999,40.799999,36.360001,36.360001,31.132322,49829800
2015-03-01,36.310001,39.509998,35.369999,38.820000,33.238632,61396200
2015-04-01,38.889999,42.459999,38.700001,40.090000,34.541870,44462200
2015-05-01,39.900002,40.380001,37.299999,38.380001,33.068523,42261400
2015-06-01,38.590000,38.779999,33.610001,33.900002,29.208513,49861700
2015-07-01,33.759998,34.009998,29.950001,31.920000,27.674557,53971600
2015-08-01,31.540001,33.570000,25.010000,29.650000,25.706474,68170100
2015-09-01,28.299999,29.379999,25.469999,25.990000,22.533264,71185900
2015-10-01,26.370001,32.689999,25.320000,30.320000,26.506031,89832100
2015-11-01,30.080000,34.509998,29.910000,32.340000,28.271933,60773000
2015-12-01,32.279999,32.570000,27.709999,30.219999,26.418608,59486200
2016-01-01,29.500000,30.719999,21.270000,29.990000,26.428234,95358300
2016-02-01,29.240000,30.750000,25.680000,28.280001,24.921322,82437800
2016-03-01,28.690001,36.990002,28.379999,35.130001,30.957785,84240500
2016-04-01,34.330002,39.590000,33.110001,37.680000,33.421947,61342400
2016-05-01,37.410000,39.520000,35.090000,38.970001,34.566177,45421800
2016-06-01,38.270000,40.590000,36.259998,39.860001,35.355595,54174200
2016-07-01,39.799999,41.849998,38.570000,39.540001,35.290310,38342600
2016-08-01,38.919998,42.349998,38.360001,40.730000,36.352402,36022800
2016-09-01,40.439999,42.430000,37.980000,41.939999,37.432365,38722100
2016-10-01,41.900002,44.380001,41.639999,42.570000,38.221226,35265000
2016-11-01,42.720001,46.299999,39.639999,45.330002,40.699276,40285700
2016-12-01,46.000000,46.740002,42.689999,42.790001,38.418747,42052000
2017-01-01,42.959999,44.130001,38.660000,39.340000,35.518997,53214000
2017-02-01,39.750000,40.500000,37.340000,38.090000,34.390408,44314500
2017-03-01,38.490002,44.840000,38.169998,43.540001,39.311066,78688600
2017-04-01,43.660000,45.939999,43.000000,43.480000,39.514759,34671600
