Date,Dividends
2007-12-12,0.085
2012-09-12,0.105
2008-06-11,0.1
2016-03-16,0.23
2011-12-14,0.09
2016-09-14,0.23
2012-06-13,0.105
2015-12-09,0.23
2016-06-15,0.23
2003-09-10,0.15
2004-03-10,0.2
2007-09-12,0.085
2008-03-12,0.10059
2003-06-11,0.15
2003-12-10,0.15
2007-06-13,0.085
2011-09-14,0.09
2012-03-15,0.105
2015-03-12,0.23
2010-12-15,0.075
2011-06-15,0.09
2015-09-09,0.23
2019-03-21,0.375
2014-12-10,0.225
2015-06-10,0.23
2019-09-12,0.375
2002-03-13,0.125
2003-03-12,0.15
2002-09-11,0.125
2019-06-13,0.375
2019-12-10,0.375
2007-03-14,0.085
2006-09-13,0.075
2002-06-12,0.125
2002-12-11,0.125
2011-03-16,0.09
2010-09-15,0.075
2006-06-14,0.075
2006-12-13,0.075
2014-03-13,0.225
2014-09-10,0.225
2009-12-09,0.105
2010-06-09,0.075
2018-03-15,0.335
2013-12-11,0.2
2014-06-11,0.255
2018-09-13,0.335
2001-03-15,0.1
2001-09-12,0.1
2018-06-14,0.335
2018-12-07,0.335
2006-03-15,0.075
2005-09-14,0.06
2001-06-13,0.1
2001-12-12,0.1
2010-03-10,0.15
2009-09-09,0.105
2005-06-15,0.06
2005-12-14,0.06
2013-03-14,0.125
2013-09-11,0.125
2008-12-10,0.1
2009-06-10,0.105
2017-03-15,0.275
2017-09-14,0.275
2012-12-12,0.105
2013-06-12,0.125
2016-12-07,0.25
2017-06-14,0.275
2017-12-11,0.275
2005-03-16,0.1125
2004-09-15,0.1
2009-03-11,0.105
2004-06-16,0.1
2008-09-10,0.1
2004-12-15,0.1
