Date,Dividends
2012-09-26,0.315
2014-03-27,0.315
2014-09-26,0.34
2009-12-29,0.315
2010-06-28,0.315
2016-03-29,0.365
2011-12-28,0.315
2016-09-28,0.39
2018-03-28,0.4175
2012-06-27,0.315
2013-12-27,0.315
2014-06-26,0.315
2018-09-27,0.4475
2015-12-29,0.365
2016-06-28,0.365
2017-09-28,0.4175
2018-06-28,0.4175
2018-12-28,0.4475
2010-03-29,0.315
2009-09-28,0.315
2011-09-28,0.315
2012-03-28,0.315
2013-03-26,0.315
2013-09-26,0.315
2015-03-27,0.34
2010-12-29,0.315
2011-06-28,0.315
2015-09-28,0.365
2017-03-29,0.39
2017-09-27,0.4175
2019-03-28,0.448
2012-12-27,0.315
2013-06-26,0.315
2014-12-29,0.34
2015-06-26,0.34
2019-09-27,0.48
2011-12-29,0.315
2016-12-28,0.39
2017-06-28,0.39
2017-12-28,0.4175
2019-06-27,0.448
2019-12-30,0.48
2011-03-29,0.315
2010-09-28,0.315
