Date,Dividends
2001-01-29,0.1
2018-04-27,0.9
2005-07-27,0.145
2009-10-28,0.21
2005-01-27,0.125
2009-07-29,0.21
2013-10-29,0.35
2009-01-28,0.21
1996-04-26,0.1
1996-10-29,0.1
1997-04-28,0.1
2013-07-29,0.35
2017-10-30,0.65
2009-04-28,0.21
2014-01-29,0.4375
2000-10-27,0.1
2001-04-26,0.1
1996-07-29,0.1
2017-07-27,0.65
1997-01-29,0.1
2013-04-26,0.35
2018-01-30,0.9
2004-10-27,0.125
2005-04-27,0.145
2000-07-26,0.1
2017-04-26,0.65
2008-10-29,0.21
2004-01-28,0.1
2004-07-28,0.125
2008-01-29,0.185
2008-07-29,0.21
2012-10-29,0.3
2012-01-27,0.3
2012-07-27,0.3
2016-10-27,0.575
2008-04-28,0.21
2013-01-29,0.35
1999-10-27,0.1
2000-04-26,0.1
2016-07-27,0.575
2012-04-26,0.3
2017-01-27,0.65
1999-07-28,0.1
2003-10-29,0.1
2004-04-28,0.125
2000-01-27,0.1
2016-04-27,0.575
2007-10-29,0.185
2003-07-29,0.1
2003-01-29,0.1
2011-10-27,0.275
2007-07-27,0.185
2007-01-29,0.165
2015-10-28,0.525
2011-07-27,0.275
2011-01-27,0.275
2007-04-26,0.185
1998-10-28,0.1
1999-04-28,0.1
2019-10-30,1.0375
2015-07-29,0.525
2011-04-27,0.275
2016-01-27,0.575
1998-07-29,0.1
2002-10-29,0.1
2003-04-28,0.1
2019-07-30,1.0375
2015-04-28,0.525
1999-01-27,0.1
2020-01-30,1.1375
2002-07-26,0.1
2006-10-27,0.165
2002-01-29,0.1
2019-04-29,1.0375
2006-07-27,0.165
2010-10-27,0.21
2006-01-27,0.145
2014-10-29,0.5
2010-07-28,0.21
2010-01-27,0.21
1997-10-29,0.1
1998-04-28,0.1
2018-10-30,0.9
2014-07-29,0.5
2010-04-28,0.21
2015-01-28,0.525
2001-10-29,0.1
2002-04-26,0.1
1997-07-29,0.1
2018-07-30,0.9
2014-04-28,0.4375
2019-01-30,1.0375
1998-01-28,0.1
2001-07-26,0.1
2005-10-27,0.145
2006-04-26,0.165
