Date,Open,High,Low,Close,Adj Close,Volume
1995-01-01,3.625000,3.625000,3.360000,3.422500,0.107041,5184000
1995-02-01,3.422500,3.687500,3.406250,3.656250,0.114352,29262400
1995-03-01,3.656250,3.781250,3.547500,3.781250,0.137374,22540000
1995-04-01,3.766250,3.875000,3.703750,3.797500,0.137965,14249600
1995-05-01,3.797500,3.875000,3.718750,3.750000,0.136239,17324800
1995-06-01,3.750000,3.860000,3.718750,3.781250,0.158009,21671200
1995-07-01,3.781250,3.828750,3.672500,3.687500,0.154091,14633600
1995-08-01,3.687500,3.860000,3.672500,3.860000,0.161300,23788800
1995-09-01,3.843750,3.937500,3.735000,3.843750,0.185096,19888800
1995-10-01,3.860000,4.062500,3.812500,4.031250,0.194125,19523200
1995-11-01,4.062500,4.125000,4.016250,4.016250,0.193403,16519200
1995-12-01,4.016250,4.110000,3.922500,3.985000,0.218477,9342400
1996-01-01,3.985000,4.187500,3.968750,4.156250,0.227866,12253600
1996-02-01,4.156250,4.297500,4.093750,4.093750,0.224439,15586400
1996-03-01,4.110000,4.156250,3.983750,4.125000,0.256057,10067200
1996-04-01,4.110000,4.181250,4.062500,4.181250,0.259548,15260000
1996-05-01,4.181250,4.237500,4.150000,4.225000,0.262264,11171200
1996-06-01,4.218750,4.381250,4.187500,4.287500,0.302109,15868800
1996-07-01,4.287500,4.500000,4.281250,4.412500,0.310917,15929600
1996-08-01,4.406250,4.700000,4.406250,4.531250,0.319284,36748800
1996-09-01,4.543750,4.668750,4.518750,4.612500,0.365245,16139200
1996-10-01,4.612500,5.106250,4.568750,5.062500,0.400879,21300000
1996-11-01,5.068750,5.250000,4.812500,5.000000,0.395930,21586400
1996-12-01,5.000000,5.043750,4.787500,4.993750,0.438558,16624000
1997-01-01,4.981250,5.075000,4.937500,4.993750,0.438558,17040000
1997-02-01,5.000000,5.281250,4.968750,4.993750,0.438558,19629600
1997-03-01,4.968750,5.156250,4.937500,4.987500,0.485965,15710400
1997-04-01,4.981250,5.218750,4.881250,5.218750,0.508497,19936000
1997-05-01,5.206250,5.481250,5.181250,5.462500,0.532248,18204000
1997-06-01,5.475000,5.768750,5.343750,5.768750,0.620969,13330400
1997-07-01,5.750000,6.812500,5.750000,6.812500,0.733322,36996800
1997-08-01,6.656250,6.750000,6.093750,6.200000,0.667390,12376000
1997-09-01,6.200000,6.906250,6.200000,6.787500,0.798423,17288000
1997-10-01,6.768750,6.868750,6.250000,6.600000,0.776367,13212000
1997-11-01,6.456250,7.875000,6.456250,7.875000,0.926347,17482400
1997-12-01,7.812500,8.212500,7.562500,8.175000,1.036991,20042400
1998-01-01,8.187500,8.368750,7.593750,8.200000,1.040162,19896000
1998-02-01,8.218750,8.437500,7.937500,8.018750,1.017171,25619200
1998-03-01,8.018750,8.062500,7.562500,7.956250,1.078933,16145600
1998-04-01,7.931250,7.956250,7.500000,7.875000,1.067916,18186400
1998-05-01,7.925000,7.968750,7.700000,7.918750,1.073848,22632000
1998-06-01,7.856250,8.331250,7.856250,8.281250,1.205799,22540000
1998-07-01,8.281250,8.718750,8.125000,8.125000,1.183048,13558400
1998-08-01,8.025000,8.187500,7.250000,7.250000,1.055642,23865600
1998-09-01,7.250000,8.250000,7.237500,8.006250,1.259671,14676800
1998-10-01,7.937500,8.443750,7.750000,8.387500,1.319655,17985600
1998-11-01,8.400000,8.925000,8.287500,8.625000,1.357022,12134400
1998-12-01,8.625000,8.862500,8.531250,8.812500,1.486727,9896800
1999-01-01,8.812500,8.875000,8.375000,8.593750,1.449823,19252000
1999-02-01,8.512500,8.968750,8.343750,8.875000,1.497272,12762400
1999-03-01,8.887500,9.081250,8.312500,8.356250,1.512120,10739200
1999-04-01,8.425000,8.625000,7.875000,8.481250,1.534740,20548800
1999-05-01,8.500000,8.718750,8.037500,8.675000,1.569801,10965600
1999-06-01,8.700000,8.750000,8.125000,8.437500,1.582570,11632400
1999-07-01,8.487500,8.487500,8.075000,8.250000,1.547402,9117600
1999-08-01,8.212500,8.350000,7.725000,7.975000,1.495822,12731600
1999-09-01,7.975000,8.187500,7.450000,7.937500,1.546731,24000400
1999-10-01,7.750000,8.000000,7.512500,7.925000,1.544295,14244400
1999-11-01,7.900000,7.900000,7.400000,7.412500,1.444428,15756400
1999-12-01,7.625000,7.737500,7.150000,7.162500,1.451559,19126000
2000-01-01,7.175000,7.450000,5.750000,6.875000,1.393294,28440400
2000-02-01,6.862500,7.000000,6.375000,6.625000,1.342628,23232000
2000-03-01,6.650000,7.462500,6.375000,7.362500,1.562369,42642800
2000-04-01,7.425000,8.312500,7.362500,8.000000,1.697650,25608000
2000-05-01,7.925000,8.600000,7.500000,8.575000,1.819668,19138800
2000-06-01,8.475000,8.587500,7.750000,7.762500,1.714796,16443600
2000-07-01,7.812500,8.400000,7.750000,7.975000,1.761738,21792800
2000-08-01,8.000000,8.687500,7.987500,8.450000,1.866670,14522800
2000-09-01,8.525000,8.675000,8.062500,8.650000,1.989204,14572800
2000-10-01,8.650000,10.250000,8.375000,10.250000,2.357149,18581200
2000-11-01,10.112500,10.250000,9.587500,10.125000,2.328404,26656400
2000-12-01,10.012500,11.000000,9.825000,10.925000,2.597531,20295600
2001-01-01,10.462500,10.687500,8.475000,9.125000,2.169562,26084000
2001-02-01,9.125000,10.125000,9.125000,10.125000,2.407323,31457600
2001-03-01,10.182500,10.750000,9.770000,10.587500,2.610003,25301200
2001-04-01,10.587500,10.625000,9.287500,9.475000,2.335755,19132800
2001-05-01,9.547500,10.085000,8.887500,10.000000,2.465175,34083600
2001-06-01,9.875000,10.345000,9.650000,10.297500,2.635616,16928400
2001-07-01,10.412500,10.422500,9.755000,10.162500,2.601064,17256800
2001-08-01,10.100000,10.495000,9.975000,10.192500,2.608741,12163200
2001-09-01,10.245000,10.810000,10.040000,10.637500,2.817198,23547200
2001-10-01,10.637500,11.312500,10.275000,11.057500,2.928429,20763200
2001-11-01,11.037500,11.387500,10.612500,11.075000,2.933063,19896800
2001-12-01,11.072500,11.275000,10.222500,10.850000,2.969029,22976800
2002-01-01,10.875000,10.887500,10.375000,10.885000,2.978607,31543200
2002-02-01,10.775000,11.522500,10.677500,11.247500,3.077803,25012800
2002-03-01,11.247500,11.537500,10.822500,11.182500,3.170812,28324800
2002-04-01,11.102500,11.500000,10.765000,11.500000,3.260840,19784000
2002-05-01,11.500000,12.235000,11.355000,11.927500,3.382058,20534000
2002-06-01,11.777500,12.062500,11.320000,11.790000,3.454456,21540400
2002-07-01,11.712500,12.312500,10.875000,11.400000,3.340188,25466800
2002-08-01,11.290000,12.125000,11.290000,11.507500,3.371685,19063200
2002-09-01,11.510000,11.612500,10.677500,11.567500,3.500508,22959600
2002-10-01,11.600000,11.712500,10.812500,10.997500,3.328017,30114400
2002-11-01,11.025000,11.640000,10.637500,10.637500,3.219075,20903600
2002-12-01,10.747500,10.950000,10.277500,10.652500,3.332550,23052800
2003-01-01,10.655000,11.082500,10.462500,10.625000,3.323945,24362400
2003-02-01,10.565000,10.650000,10.237500,10.625000,3.323945,24082400
2003-03-01,10.675000,11.080000,10.500000,10.985000,3.578866,27361200
2003-04-01,11.000000,11.100000,10.677500,10.912500,3.555246,22591600
2003-05-01,10.922500,11.975000,10.837500,11.692500,3.809367,24412800
2003-06-01,11.625000,12.325000,11.477500,11.982500,4.196253,23576000
2003-07-01,11.980000,12.755000,11.882500,12.537500,4.390613,31051600
2003-08-01,12.525000,13.000000,12.212500,12.762500,4.469407,24256800
2003-09-01,12.562500,12.950000,11.875000,12.037500,4.355357,26222400
2003-10-01,12.025000,13.030000,11.975000,12.947500,4.684609,29232400
2003-11-01,12.997500,13.500000,12.850000,13.000000,4.703604,25650400
2003-12-01,13.175000,13.535000,12.875000,13.425000,5.013068,17321200
2004-01-01,13.350000,13.525000,12.590000,12.750000,4.761013,28836400
2004-02-01,12.830000,13.075000,12.625000,12.972500,4.844099,31516000
2004-03-01,12.972500,13.750000,12.827500,13.325000,5.158679,30676400
2004-04-01,13.335000,13.597500,12.127500,12.537500,4.853805,43730400
2004-05-01,12.537500,13.360000,12.362500,12.587500,4.873162,28912800
2004-06-01,12.545000,12.590000,11.900000,12.177500,4.884297,22093600
2004-07-01,12.140000,12.707500,11.812500,12.525000,5.023677,21074000
2004-08-01,12.600000,13.187500,12.287500,13.155000,5.276364,22464000
