Date,Dividends
2007-12-21,0.0825
1998-08-12,0.575
2015-05-13,0.465
2019-02-14,0.738
2002-08-07,0.38
2019-05-14,0.738
1997-11-19,0.545
2006-08-11,0.2875
2007-02-13,0.3075
2010-08-11,0.425
2011-02-11,0.49
2014-08-13,0.35
2015-02-11,0.465
2018-08-14,0.671
1997-02-12,0.515
2015-02-12,0.465
1997-05-14,0.515
2001-02-07,0.35
2009-11-12,0.37
2001-05-16,0.35
2005-02-11,0.5
2001-11-21,0.35
2013-11-13,0.315
2005-05-12,0.5
2005-11-10,0.2875
2017-11-14,0.61
2009-05-13,0.37
1995-11-17,0.5
1996-05-13,0.5
2008-11-12,0.33
1999-11-17,0.3025
2000-05-10,0.3225
2012-11-13,0.2825
2004-05-13,0.4575
2004-11-10,0.4575
2016-11-10,0.53
2008-05-13,0.33
2012-05-11,0.2825
1995-05-19,0.5
1999-02-10,0.575
2016-05-12,0.53
2007-11-13,0.3075
1999-05-12,0.3025
2003-02-12,0.415
2011-11-10,0.245
2003-05-16,0.415
2003-11-12,0.415
2015-11-12,0.465
2007-05-11,0.3075
2019-11-14,0.738
2011-05-11,0.49
1995-02-07,0.5
2019-08-14,0.738
1998-02-11,0.545
1998-05-13,0.545
2002-02-11,0.38
1995-05-23,0.0625
2010-11-10,0.425
2002-05-15,0.38
2002-11-18,0.38
2014-11-12,0.35
2006-05-11,0.2875
2006-11-10,0.2875
2003-05-19,0.415
2018-11-14,0.671
2010-05-12,0.425
1997-08-20,0.545
2014-05-13,0.35
2018-02-14,0.671
2010-11-11,0.425
2001-08-08,0.35
2018-05-14,0.671
1996-11-13,0.515
2005-08-11,0.25
2000-11-15,0.3225
2006-02-13,0.2875
2009-08-13,0.37
2010-02-10,0.425
2013-08-13,0.315
2014-02-12,0.35
2017-08-11,0.61
1996-02-14,0.5
1996-08-16,0.515
2013-05-13,0.315
2017-02-13,0.583
2000-02-09,0.3025
2000-08-09,0.3225
2017-05-11,0.61
2004-02-11,0.4575
2004-08-12,0.4575
2008-08-13,0.33
2009-02-11,0.37
2012-08-13,0.2825
2013-02-13,0.315
1995-08-11,0.5
2016-08-11,0.53
1999-08-11,0.3025
2020-02-13,0.81
2003-08-13,0.415
1998-11-17,0.575
2007-08-13,0.3075
2008-02-13,0.33
2011-08-11,0.245
2012-02-13,0.2825
2015-08-12,0.465
2016-02-11,0.53
