Date,Open,High,Low,Close,Adj Close,Volume
1998-03-01,4.075000,4.100000,3.500000,3.875000,-0.000186,1684400
1998-04-01,3.875000,3.875000,3.537500,3.537500,-0.000170,1232800
1998-05-01,3.550000,3.875000,3.187500,3.862500,-0.000185,808000
1998-06-01,3.812500,3.812500,3.125000,3.625000,-0.000174,772800
1998-07-01,3.625000,3.725000,3.250000,3.437500,-0.000485,550800
1998-08-01,3.437500,3.437500,1.875000,2.000000,-0.000282,1218400
1998-09-01,2.000000,2.500000,1.937500,2.125000,-0.000300,792000
1998-10-01,2.175000,2.312500,1.500000,2.300000,0.008111,1146400
1998-11-01,2.500000,2.687500,1.875000,2.025000,0.007141,612400
1998-12-01,2.025000,2.050000,1.687500,1.812500,0.006392,1426800
1999-01-01,1.812500,2.537500,1.575000,2.062500,-0.049282,714800
1999-02-01,2.100000,2.175000,1.750000,1.800000,-0.043010,487600
1999-03-01,1.775000,1.875000,1.750000,1.837500,-0.043906,576000
1999-04-01,1.825000,1.875000,1.700000,1.725000,0.294992,506000
1999-05-01,1.787500,1.812500,1.250000,1.400000,0.239414,652800
1999-06-01,1.412500,1.450000,1.187500,1.287500,0.220175,1852800
1999-07-01,1.375000,1.550000,1.375000,1.525000,-0.508634,1390000
1999-08-01,1.537500,1.537500,1.400000,1.425000,-0.475280,631200
1999-09-01,1.425000,1.425000,1.225000,1.362500,-0.454435,889600
1999-10-01,1.375000,1.500000,1.262500,1.275000,0.899875,418800
1999-11-01,1.312500,1.412500,1.187500,1.250000,0.882232,763600
1999-12-01,1.312500,1.900000,1.225000,1.700000,1.199835,1414000
2000-01-01,1.687500,1.700000,1.350000,1.562500,1.102789,665200
2000-02-01,1.562500,2.425000,1.462500,2.362500,1.667417,2806400
2000-03-01,2.250000,3.725000,2.150000,2.850000,2.011487,3988000
2000-04-01,2.875000,3.175000,2.500000,2.687500,1.896797,1685200
2000-05-01,3.000000,3.000000,2.300000,2.437500,1.720351,710000
2000-06-01,2.337500,2.862500,2.337500,2.600000,1.835041,616800
2000-07-01,2.500000,3.437500,2.437500,3.400000,2.399669,1330800
2000-08-01,3.450000,3.687500,2.875000,3.250000,2.293802,1018400
2000-09-01,3.250000,3.625000,3.200000,3.250000,2.293802,1164400
2000-10-01,3.312500,3.487500,2.637500,2.750000,1.940909,456800
2000-11-01,2.750000,2.925000,2.137500,2.625000,1.852685,587600
2000-12-01,2.500000,2.612500,2.125000,2.425000,1.711529,2540000
2001-01-01,2.375000,3.000000,2.275000,3.000000,2.117356,614400
2001-02-01,3.000000,3.237500,2.750000,3.125000,2.205578,1975600
2001-03-01,3.187500,3.187500,2.625000,2.812500,1.985021,1019600
2001-04-01,2.812500,2.950000,2.637500,2.775000,1.958554,572800
2001-05-01,2.627500,2.875000,2.625000,2.750000,1.940909,303200
2001-06-01,2.750000,2.750000,2.600000,2.750000,1.940909,556800
2001-07-01,2.800000,2.800000,2.412500,2.500000,1.764463,392000
2001-08-01,2.500000,2.500000,2.192500,2.192500,1.547433,259200
2001-09-01,2.142500,2.252500,1.825000,1.950000,1.376281,562000
2001-10-01,1.997500,2.275000,1.937500,2.185000,1.542140,231200
2001-11-01,2.100000,2.150000,2.025000,2.075000,1.464504,386000
2001-12-01,2.050000,2.312500,2.050000,2.195000,1.549198,578000
2002-01-01,2.065000,2.450000,2.065000,2.400000,1.693884,2231600
2002-02-01,2.412500,2.500000,2.312500,2.375000,1.676240,312000
2002-03-01,2.460000,2.460000,2.252500,2.287500,1.614484,769200
2002-04-01,2.312500,2.500000,2.312500,2.487500,1.755641,1174800
2002-05-01,2.475000,2.750000,2.412500,2.500000,1.764463,2964000
2002-06-01,2.595000,2.595000,2.437500,2.500000,1.764463,839600
2002-07-01,2.525000,2.725000,2.187500,2.250000,1.588016,871600
2002-08-01,2.250000,2.375000,2.200000,2.275000,1.605661,1363600
2002-09-01,2.250000,2.362500,2.250000,2.262500,1.596839,949200
2002-10-01,2.262500,2.375000,2.190000,2.350000,1.658595,980800
2002-11-01,2.312500,2.550000,2.275000,2.525000,1.782107,638000
