Date,Dividends
2015-05-13,0.12
2019-08-15,0.11
2019-02-13,0.18
2019-05-16,0.11
1999-03-04,2.08
1999-09-02,2.08
2010-11-12,0.04
1999-06-03,2.08
2010-08-13,0.04
2014-11-12,0.1
2011-02-10,0.04
2018-11-15,0.18
2010-05-13,0.04
2014-08-13,0.1
2015-02-11,0.1
2014-05-14,0.1
2018-08-16,0.18
2018-02-13,0.16
2018-05-16,0.18
1998-09-03,2.08
2009-11-12,0.03
1998-06-03,2.08
1998-12-10,2.08
2009-08-12,0.03
2013-11-13,0.08
2010-02-10,0.03
2013-08-14,0.08
2017-11-15,0.16
2009-05-13,0.03
2014-02-12,0.08
2017-08-15,0.16
2013-05-15,0.08
2017-02-10,0.14
2017-05-15,0.16
2008-11-12,0.025
2012-11-14,0.065
2008-08-12,0.025
2009-02-11,0.025
2012-08-15,0.065
2016-11-14,0.14
2008-05-12,0.025
2013-02-12,0.065
2016-08-15,0.14
2012-05-15,0.065
2016-05-13,0.14
2020-02-13,0.11
2007-11-09,0.025
2011-11-14,0.05
2007-08-10,0.025
2008-02-12,0.025
2015-11-12,0.12
2007-05-10,0.025
2011-08-15,0.05
2012-02-13,0.05
2019-11-14,0.11
2011-05-13,0.05
2015-08-12,0.12
2016-02-10,0.12
