Date,Open,High,Low,Close,Adj Close,Volume
2004-05-01,7.750000,7.800000,7.050000,7.110000,3.432397,211300
2004-06-01,7.200000,7.750000,6.960000,7.710000,3.722049,176300
2004-07-01,7.710000,7.710000,6.500000,7.000000,3.405659,151600
2004-08-01,7.000000,7.100000,6.300000,6.850000,3.332680,135500
2004-09-01,6.800000,6.900000,6.300000,6.350000,3.089420,200600
2004-10-01,6.350000,6.350000,6.000000,6.100000,2.995876,272600
2004-11-01,6.000000,6.250000,5.380000,5.400000,2.652085,913600
2004-12-01,5.400000,6.000000,5.150000,6.000000,2.946761,407800
2005-01-01,5.800000,6.050000,5.500000,5.500000,2.701199,228600
2005-02-01,5.450000,6.700000,5.250000,6.400000,3.176651,3990100
2005-03-01,6.200000,6.650000,6.010000,6.200000,3.077380,353300
2005-04-01,6.250000,6.590000,6.000000,6.300000,3.127016,232200
2005-05-01,6.300000,6.350000,5.570000,6.200000,3.106970,512500
2005-06-01,6.020000,6.300000,5.700000,5.980000,2.996722,2270200
2005-07-01,5.800000,6.250000,5.750000,6.060000,3.036813,490700
2005-08-01,6.040000,6.720000,6.040000,6.350000,3.214391,117600
2005-09-01,6.400000,6.550000,6.080000,6.250000,3.163771,111000
2005-10-01,6.010000,6.250000,5.750000,6.180000,3.128336,1093900
2005-11-01,6.190000,7.400000,6.150000,6.900000,3.528565,149100
2005-12-01,7.000000,7.250000,6.500000,7.000000,3.579704,602700
2006-01-01,7.000000,8.590000,6.850000,8.300000,4.244506,1524100
2006-02-01,8.400000,8.590000,7.850000,8.200000,4.224857,390700
2006-03-01,8.200000,8.750000,7.800000,8.100000,4.173335,436000
2006-04-01,8.100000,8.600000,8.000000,8.450000,4.353662,238600
2006-05-01,8.400000,8.400000,7.690000,7.850000,4.074340,233800
2006-06-01,7.650000,7.990000,7.150000,7.500000,3.892681,196300
2006-07-01,7.300000,7.750000,7.150000,7.450000,3.908421,377000
2006-08-01,7.450000,7.650000,7.200000,7.500000,3.934651,227800
2006-09-01,7.540000,7.550000,6.750000,7.430000,3.897927,235000
2006-10-01,7.250000,8.600000,7.250000,8.490000,4.502372,218200
2006-11-01,8.260000,8.750000,7.900000,8.370000,4.438735,410600
2006-12-01,8.350000,10.250000,8.340000,10.250000,5.435727,972400
2007-01-01,10.250000,11.250000,9.850000,10.640000,5.642550,934900
2007-02-01,10.800000,12.000000,10.250000,11.890000,6.357457,429400
2007-03-01,11.980000,11.990000,10.950000,11.250000,6.015255,328300
2007-04-01,11.100000,11.890000,11.000000,11.750000,6.282603,221600
2007-05-01,11.700000,13.870000,11.700000,13.050000,7.034225,389900
2007-06-01,13.330000,13.450000,10.260000,10.730000,5.783695,1259900
2007-07-01,10.730000,11.100000,10.270000,10.600000,5.763497,578700
2007-08-01,10.550000,10.600000,8.000000,9.260000,5.034905,246800
2007-09-01,9.040000,10.500000,8.500000,10.360000,5.633004,539900
2007-10-01,10.500000,10.640000,9.810000,10.640000,5.857715,256000
2007-11-01,10.640000,11.750000,9.500000,9.800000,5.395262,109100
2007-12-01,10.000000,10.500000,9.650000,10.350000,5.698057,155400
2008-01-01,10.460000,10.460000,7.750000,8.950000,4.927307,519800
2008-02-01,8.950000,9.990000,8.350000,9.810000,5.482597,182900
2008-03-01,9.810000,9.810000,8.000000,9.800000,5.477009,57800
2008-04-01,9.000000,9.800000,8.180000,9.740000,5.443477,108100
2008-05-01,9.700000,9.700000,8.900000,9.700000,5.495047,105900
2008-06-01,9.600000,9.600000,7.800000,8.000000,4.531997,263500
2008-07-01,8.250000,8.700000,7.750000,7.810000,4.485952,167400
2008-08-01,7.990000,9.100000,7.800000,8.800000,5.054594,340800
2008-09-01,8.500000,9.240000,7.900000,8.200000,4.709963,769100
2008-10-01,8.020000,8.090000,6.000000,7.340000,4.275651,554500
2008-11-01,6.800000,8.000000,4.990000,5.250000,3.058198,349100
2008-12-01,5.190000,5.350000,4.060000,5.350000,3.116450,567100
2009-01-01,5.120000,6.250000,5.000000,5.500000,3.203827,129600
2009-02-01,5.250000,5.500000,3.780000,3.990000,2.348782,134600
2009-03-01,4.000000,4.300000,3.270000,3.800000,2.236936,142500
2009-04-01,4.140000,4.650000,3.600000,4.650000,2.737303,157200
2009-05-01,4.590000,5.980000,4.360000,5.140000,3.071827,968800
2009-06-01,5.100000,5.990000,4.950000,5.400000,3.227212,262900
2009-07-01,5.200000,5.200000,4.650000,5.190000,3.135982,80700
2009-08-01,5.310000,5.620000,4.900000,5.000000,3.021177,820500
2009-09-01,4.950000,6.060000,4.950000,5.550000,3.353506,400700
2009-10-01,5.550000,6.250000,5.350000,6.000000,3.665034,308400
2009-11-01,5.990000,6.500000,5.400000,5.560000,3.396265,162500
2009-12-01,5.570000,6.100000,5.400000,5.600000,3.420699,235100
2010-01-01,5.620000,6.040000,5.600000,5.750000,3.512325,169500
2010-02-01,5.750000,5.820000,5.250000,5.410000,3.338075,459700
2010-03-01,5.450000,5.780000,5.400000,5.750000,3.547863,112800
2010-04-01,5.560000,5.990000,5.560000,5.750000,3.547863,130500
2010-05-01,5.670000,5.800000,5.010000,5.500000,3.429394,95100
2010-06-01,5.260000,6.970000,4.970000,6.580000,4.102800,1068700
2010-07-01,6.600000,6.800000,6.160000,6.600000,4.152969,375000
2010-08-01,6.600000,7.510000,6.500000,7.250000,4.561972,740200
2010-09-01,6.800000,8.190000,6.000000,8.150000,5.128287,641300
2010-10-01,8.150000,8.450000,7.160000,7.470000,4.700405,475000
2010-11-01,7.500000,8.980000,7.500000,8.500000,5.388936,293800
2010-12-01,8.500000,8.630000,7.500000,8.000000,5.071940,124500
2011-01-01,8.240000,8.390000,7.760000,7.900000,5.008541,75700
2011-02-01,7.910000,8.250000,7.900000,8.240000,5.224098,104400
2011-03-01,8.170000,8.500000,7.760000,8.220000,5.263274,232900
2011-04-01,8.300000,8.500000,8.190000,8.300000,5.314497,52000
2011-05-01,8.290000,8.300000,8.110000,8.250000,5.282482,98700
2011-06-01,8.270000,8.330000,6.720000,7.250000,4.687582,138100
2011-07-01,7.300000,8.000000,7.300000,7.900000,5.107848,45300
2011-08-01,7.860000,7.860000,6.550000,6.880000,4.448355,58200
2011-09-01,6.880000,6.880000,5.750000,6.340000,4.146600,41900
2011-10-01,5.970000,6.400000,5.660000,6.050000,3.956929,48400
2011-11-01,6.050000,6.050000,5.200000,5.700000,3.728015,71300
2011-12-01,5.740000,6.450000,5.610000,6.290000,4.113897,75000
2012-01-01,6.290000,6.740000,6.250000,6.500000,4.307000,39800
2012-02-01,6.500000,9.010000,6.450000,8.500000,5.632230,177500
2012-03-01,8.830000,8.830000,8.100000,8.500000,5.632230,355800
