Date,Dividends
2018-04-03,0.19
2008-06-26,0.12
2015-05-21,0.13
2019-08-23,0.21
2005-07-04,0.06
2016-03-24,0.15
2005-01-21,0.06
2011-12-23,0.08
2019-05-21,0.21
2009-01-22,0.06
2009-04-02,0.06
2014-11-21,0.12
2011-02-16,0.08
2007-09-25,0.12
2018-11-20,0.2
2014-08-21,0.12
2005-04-06,0.06
2007-06-26,0.09
2012-03-22,0.08
2014-05-14,0.11
2018-08-21,0.2
2015-03-27,0.13
2018-05-22,0.19
2008-01-22,0.12
2008-04-03,0.12
2013-11-18,0.1
2006-09-26,0.08
2013-08-22,0.1
2017-11-21,0.18
2006-06-23,0.08
2017-08-21,0.18
2013-05-22,0.09
2014-03-28,0.11
2010-06-24,0.06
2017-05-17,0.17
2007-01-22,0.09
2014-05-15,0.11
2007-04-04,0.09
2012-11-22,0.08
2012-08-23,0.08
2016-11-18,0.16
2009-09-24,0.06
2016-08-16,0.16
2012-05-22,0.08
2013-03-28,0.09
2019-04-02,0.21
2009-06-25,0.06
2010-10-15,0.06
2016-05-13,0.15
2017-03-31,0.17
2006-01-27,0.06
2010-01-21,0.06
2017-05-18,0.17
2010-04-01,0.06
2004-09-29,0.06
2015-11-19,0.14
2011-08-18,0.08
2004-06-30,0.06
2008-09-25,0.12
2019-11-19,0.21
2011-05-18,0.08
2015-08-13,0.14
2005-10-06,0.06
2006-04-05,0.06
