Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,4.930000,4.930000,4.250000,4.420000,0.910861,2580452
2000-02-01,4.380000,4.650000,3.600000,4.200000,0.865524,1514011
2000-03-01,4.250000,4.850000,4.000000,4.400000,0.906739,1305475
2000-04-01,4.310000,4.800000,4.260000,4.800000,1.024340,744402
2000-05-01,4.800000,5.200000,4.520000,5.100000,1.088362,858838
2000-06-01,5.100000,5.500000,4.800000,5.200000,1.109702,1109480
2000-07-01,5.200000,5.350000,5.000000,5.200000,1.143913,729721
2000-08-01,5.200000,6.000000,5.050000,5.900000,1.297900,1892229
2000-09-01,5.900000,5.950000,5.400000,5.500000,1.209907,2300472
2000-10-01,5.450000,5.900000,5.100000,5.350000,1.212447,1436577
2000-11-01,5.700000,5.750000,5.100000,5.200000,1.178453,953840
2000-12-01,5.250000,5.850000,5.150000,5.700000,1.291767,1146129
2001-01-01,5.700000,6.500000,5.350000,6.300000,1.475521,826647
2001-02-01,6.330000,6.440000,6.000000,6.100000,1.428678,1039850
2001-03-01,6.190000,6.450000,6.010000,6.190000,1.449757,790309
2001-04-01,6.150000,7.000000,5.810000,6.650000,1.600061,943311
2001-05-01,6.600000,6.740000,6.200000,6.650000,1.600061,1209507
2001-06-01,6.680000,7.000000,6.500000,6.700000,1.612091,559470
2001-07-01,6.700000,6.700000,6.180000,6.450000,1.591259,962407
2001-08-01,6.600000,6.900000,6.370000,6.890000,1.699809,855940
2001-09-01,6.890000,7.000000,6.100000,6.400000,1.578924,880491
2001-10-01,6.300000,7.000000,6.200000,6.830000,1.729213,661263
2001-11-01,6.910000,7.870000,6.530000,6.600000,1.670981,1041174
2001-12-01,6.600000,7.000000,6.560000,6.850000,1.734276,2578456
2002-01-01,6.850000,7.250000,6.750000,7.050000,1.830680,2246557
2002-02-01,7.010000,7.650000,6.750000,7.560000,1.963110,1913565
2002-03-01,7.550000,7.750000,7.300000,7.350000,1.908580,2589805
2002-04-01,7.400000,7.450000,6.600000,6.750000,1.793991,2334965
2002-05-01,6.730000,6.780000,6.400000,6.660000,1.770070,19622860
2002-06-01,6.640000,6.840000,6.450000,6.750000,1.793991,4074600
2002-07-01,6.750000,6.870000,6.000000,6.360000,1.733878,2757562
2002-08-01,6.360000,6.820000,6.350000,6.650000,1.812938,2227471
2002-09-01,6.650000,6.840000,6.530000,6.600000,1.799308,3693236
2002-10-01,6.610000,6.650000,6.000000,6.250000,1.747448,3307767
2002-11-01,6.240000,6.350000,5.200000,5.870000,1.641202,3580980
2002-12-01,5.900000,6.400000,5.800000,6.150000,1.719488,3115825
2003-01-01,6.150000,6.650000,6.150000,6.230000,1.790161,5433584
2003-02-01,6.230000,6.250000,5.850000,6.250000,1.795908,5759763
2003-03-01,6.230000,6.350000,6.070000,6.200000,1.781540,3713630
2003-04-01,6.240000,6.380000,6.150000,6.310000,1.866739,4434285
2003-05-01,6.350000,6.750000,6.250000,6.650000,1.967325,6055990
2003-06-01,6.650000,6.700000,6.280000,6.440000,1.905198,7379099
2003-07-01,6.440000,6.600000,6.370000,6.480000,1.971203,7746963
2003-08-01,6.500000,7.050000,6.450000,7.000000,2.129385,7807805
2003-09-01,7.000000,7.160000,6.820000,6.880000,2.092881,7250618
2003-10-01,6.890000,6.990000,6.730000,6.750000,2.107134,6810041
2003-11-01,6.770000,7.500000,6.750000,7.300000,2.298934,11810000
2003-12-01,7.250000,7.870000,7.180000,7.760000,2.464193,8350100
2004-01-01,7.760000,8.350000,7.720000,8.150000,2.608099,8184800
2004-02-01,8.200000,8.950000,8.150000,8.840000,2.849583,14342500
2004-03-01,8.870000,8.870000,8.000000,8.320000,2.700714,9230800
2004-04-01,8.320000,8.320000,7.140000,7.700000,2.517462,9117800
2004-05-01,7.650000,7.980000,7.050000,7.510000,2.474400,4666000
2004-06-01,7.550000,7.950000,7.250000,7.950000,2.639548,4308500
2004-07-01,7.950000,7.950000,7.450000,7.550000,2.526375,8076400
2004-08-01,7.550000,8.120000,7.520000,7.940000,2.678161,11841000
2004-09-01,7.970000,8.250000,7.800000,8.210000,2.790159,9954100
2004-10-01,8.200000,8.530000,8.150000,8.260000,2.828899,11750900
2004-11-01,8.280000,8.990000,8.110000,8.880000,3.063790,10569900
2004-12-01,8.950000,9.540000,8.700000,9.160000,3.182899,9467700
2005-01-01,9.160000,9.480000,8.820000,9.350000,3.271264,8673400
2005-02-01,9.300000,9.700000,9.100000,9.390000,3.307085,13794100
2005-03-01,9.390000,9.690000,8.000000,8.870000,3.145314,10910900
2005-04-01,8.890000,9.540000,8.820000,9.260000,3.307367,9719700
2005-05-01,9.280000,9.910000,9.210000,9.790000,3.520454,6155700
2005-06-01,9.730000,10.170000,9.400000,9.780000,3.539432,8559100
2005-07-01,9.780000,10.800000,9.710000,10.600000,3.860128,10876600
2005-08-01,10.600000,10.790000,9.570000,9.910000,3.630486,13510800
2005-09-01,9.910000,10.400000,9.120000,10.000000,3.686874,9670600
2005-10-01,10.000000,10.080000,8.900000,9.520000,3.532226,11227900
2005-11-01,9.500000,10.410000,9.350000,9.880000,3.689693,9915900
2005-12-01,9.950000,10.480000,9.820000,10.050000,3.776320,8962800
2006-01-01,10.050000,10.180000,9.800000,9.830000,3.717969,6664900
2006-02-01,9.830000,10.600000,9.800000,10.440000,3.974572,10380900
2006-03-01,10.430000,10.650000,10.010000,10.010000,3.834382,7794200
2006-04-01,10.050000,10.170000,9.510000,9.530000,3.673542,4998200
2006-05-01,9.550000,9.950000,9.000000,9.950000,3.861021,9170000
2006-06-01,9.900000,9.990000,9.250000,9.910000,3.871095,6719800
2006-07-01,9.910000,10.280000,9.730000,10.140000,3.987970,4991200
2006-08-01,10.140000,10.330000,9.890000,10.030000,3.970159,7349000
2006-09-01,10.010000,10.490000,10.010000,10.240000,4.078948,9832800
2006-10-01,10.240000,10.600000,9.910000,10.000000,4.010737,12226600
2006-11-01,7.750000,9.140000,7.550000,8.420000,3.400242,24060100
2006-12-01,8.450000,9.310000,8.320000,9.040000,3.681181,11505300
2007-01-01,9.040000,9.600000,8.950000,8.990000,3.688586,11971000
2007-02-01,8.970000,9.180000,8.670000,9.000000,3.721281,11717100
2007-03-01,8.880000,9.550000,8.810000,9.280000,3.866801,9779400
2007-04-01,9.240000,9.550000,9.170000,9.450000,3.967021,8452800
2007-05-01,9.460000,9.820000,9.330000,9.530000,4.030683,7460100
2007-06-01,9.460000,9.740000,9.170000,9.390000,4.001270,6854500
2007-07-01,9.390000,9.920000,9.230000,9.500000,4.078707,6123000
2007-08-01,9.540000,9.610000,8.680000,9.160000,3.961833,5689300
2007-09-01,9.160000,9.500000,8.970000,9.500000,4.140743,4785400
2007-10-01,9.420000,9.940000,9.310000,9.940000,4.365670,7601300
2007-11-01,9.940000,9.970000,9.400000,9.960000,4.406283,6063000
2007-12-01,9.820000,9.820000,9.120000,9.490000,4.228841,6637900
2008-01-01,9.490000,9.650000,8.900000,9.390000,4.215811,11120200
2008-02-01,9.410000,9.860000,9.180000,9.740000,4.405239,9284800
2008-03-01,9.770000,9.940000,9.500000,9.550000,4.350348,9988500
2008-04-01,9.520000,9.700000,9.280000,9.380000,4.303805,8939200
2008-05-01,9.400000,10.120000,9.390000,10.000000,4.622015,11198100
2008-06-01,10.000000,10.440000,9.940000,10.030000,4.668499,8212300
2008-07-01,10.030000,10.130000,9.380000,9.660000,4.527045,7711900
2008-08-01,9.750000,9.980000,9.420000,9.870000,4.658100,7159700
2008-09-01,9.870000,9.990000,8.850000,9.490000,4.510589,10313000
2008-10-01,9.570000,9.570000,6.910000,8.230000,3.940472,12670900
2008-11-01,8.250000,8.740000,6.900000,7.190000,3.473108,8327900
2008-12-01,7.190000,7.190000,5.590000,7.050000,3.439297,11871900
2009-01-01,7.050000,7.950000,6.970000,7.450000,3.672460,7753200
2009-02-01,7.400000,7.510000,6.820000,7.280000,3.620949,10333100
2009-03-01,7.250000,7.620000,6.590000,7.410000,3.722999,9114200
2009-04-01,7.300000,8.100000,7.300000,7.990000,4.052077,8454300
2009-05-01,8.050000,8.950000,7.770000,8.730000,4.467978,12992400
2009-06-01,8.550000,9.000000,8.220000,8.710000,4.494454,19370100
2009-07-01,8.710000,9.470000,8.550000,9.470000,4.926631,11853600
2009-08-01,9.470000,9.600000,9.180000,9.260000,4.854276,7845900
2009-09-01,9.260000,9.680000,8.990000,9.680000,5.111761,12281900
2009-10-01,9.600000,10.570000,9.400000,10.090000,5.367247,13791400
2009-11-01,10.130000,10.990000,9.970000,10.540000,5.645550,10459300
2009-12-01,10.550000,11.090000,10.420000,10.810000,5.827734,8186600
2010-01-01,10.860000,11.390000,10.820000,11.260000,6.112431,9399400
2010-02-01,11.210000,11.940000,11.080000,11.880000,6.491738,7546200
2010-03-01,11.950000,12.250000,11.690000,11.840000,6.511804,10958700
2010-04-01,11.860000,12.000000,11.720000,11.750000,6.502950,7462000
2010-05-01,11.760000,11.840000,9.000000,11.480000,6.394161,12598900
2010-06-01,11.360000,12.150000,11.160000,11.950000,6.700213,6121500
2010-07-01,11.820000,12.830000,11.820000,12.720000,7.176875,8735000
2010-08-01,12.840000,13.570000,12.720000,13.050000,7.408170,7983200
2010-09-01,13.090000,13.720000,12.960000,13.710000,7.826869,7906900
2010-10-01,13.430000,13.970000,12.950000,13.790000,7.918154,10757300
2010-11-01,13.800000,15.390000,13.660000,15.000000,8.660375,8846600
2010-12-01,15.080000,15.380000,14.500000,14.920000,8.659225,7210900
2011-01-01,14.950000,15.690000,14.870000,15.180000,8.856519,8111300
2011-02-01,15.220000,15.240000,14.650000,15.100000,8.855290,7608900
2011-03-01,15.110000,17.100000,14.220000,17.080000,10.070044,12837800
2011-04-01,16.650000,16.650000,15.260000,15.520000,9.199529,6344500
2011-05-01,15.520000,16.730000,15.400000,16.340000,9.735349,4934400
2011-06-01,16.240000,16.469999,15.130000,15.860000,9.495067,7157200
2011-07-01,15.920000,16.200001,15.420000,15.530000,9.345740,4431200
2011-08-01,15.740000,16.480000,13.400000,16.379999,9.907044,9080000
2011-09-01,16.379999,16.379999,15.310000,16.010000,9.731917,5035800
2011-10-01,15.810000,17.400000,15.010000,17.150000,10.476748,5680500
2011-11-01,16.900000,18.540001,16.799999,18.120001,11.122980,7071900
2011-12-01,17.959999,19.000000,17.879999,18.629999,11.485850,6007300
2012-01-01,18.459999,18.950001,17.110001,17.990000,11.143275,10887100
2012-02-01,17.990000,19.730000,17.879999,19.450001,12.104967,7898100
2012-03-01,19.480000,19.750000,18.709999,19.570000,12.235791,6725000
2012-04-01,19.480000,19.900000,18.830000,19.900000,12.497886,5172500
2012-05-01,19.860001,20.100000,17.870001,18.490000,11.664665,8020000
2012-06-01,18.090000,19.820000,17.400000,19.209999,12.172201,10764600
2012-07-01,19.209999,20.080000,19.000000,19.950001,12.697611,5324400
2012-08-01,20.080000,21.790001,20.010000,20.920000,13.374508,6352900
2012-09-01,20.920000,21.770000,20.740000,21.490000,13.794495,4628500
2012-10-01,21.420000,22.450001,21.309999,22.030001,14.199306,5307600
2012-11-01,22.000000,22.980000,21.709999,22.490000,14.552824,5363200
2012-12-01,22.510000,24.389999,22.160000,23.500000,15.265066,7562200
2013-01-01,23.500000,23.860001,23.010000,23.309999,15.200299,6055000
2013-02-01,23.309999,23.340000,22.000000,22.799999,14.926563,8979700
2013-03-01,22.809999,23.959999,22.709999,23.830000,15.662971,4789100
2013-04-01,23.969999,24.469999,23.320000,24.170000,15.948698,6563100
2013-05-01,24.000000,24.400000,22.760000,22.990000,15.227942,5313800
2013-06-01,23.030001,24.160000,18.799999,21.670000,14.408346,9667400
2013-07-01,21.670000,23.670000,21.670000,23.250000,15.520316,6152500
2013-08-01,23.240000,24.549999,22.799999,24.350000,16.321270,6577400
2013-09-01,24.350000,27.500000,23.969999,25.150000,16.925339,13096200
2013-10-01,25.180000,26.799999,24.309999,26.209999,17.714146,10526500
2013-11-01,26.200001,26.580000,23.799999,25.420000,17.252979,9217400
2013-12-01,25.480000,25.900000,24.580000,25.830000,17.604149,7097100
2014-01-01,25.830000,27.780001,25.620001,27.700001,18.959028,8788900
2014-02-01,27.740000,29.950001,27.590000,29.950001,20.582582,28827000
2014-03-01,29.570000,29.799999,28.590000,29.190001,20.135574,16124100
2014-04-01,29.190001,29.820000,28.620001,29.799999,20.632868,8328000
2014-05-01,29.850000,31.879999,29.670000,31.770000,22.078024,11746000
2014-06-01,31.750000,33.430000,31.629999,33.119999,23.098341,8979200
2014-07-01,33.119999,35.189999,31.910000,33.779999,23.635008,8791700
2014-08-01,33.590000,37.160000,32.799999,36.279999,25.466373,10202100
2014-09-01,36.279999,38.950001,34.310001,36.349998,25.591358,23378600
2014-10-01,36.410000,36.799999,28.350000,35.509998,25.072725,17406800
2014-11-01,35.509998,35.900002,32.509998,32.619999,23.103346,10041400
2014-12-01,31.500000,36.119999,27.129999,35.939999,25.545063,52808400
2015-01-01,35.939999,36.099998,29.780001,33.040001,23.580114,19314300
2015-02-01,33.509998,35.250000,32.259998,33.200001,23.787914,12778400
2015-03-01,33.200001,33.799999,29.559999,32.639999,23.471111,19031100
2015-04-01,32.650002,32.650002,30.510000,31.600000,22.808783,15378000
2015-05-01,31.510000,31.959999,30.150000,30.940001,22.420290,14879900
2015-06-01,30.950001,30.950001,28.520000,28.700001,20.879419,16775600
2015-07-01,28.700001,29.250000,25.820000,27.360001,19.986780,15855200
2015-08-01,27.000000,29.650000,21.230000,26.940001,19.764647,20181100
2015-09-01,27.639999,27.639999,24.120001,24.620001,18.140514,14279500
2015-10-01,24.610001,26.780001,23.420000,24.500000,18.139994,14454800
