Date,Dividends
2007-12-28,0.32
2012-09-27,0.47
1995-03-28,0.19
2005-06-29,0.29
2016-03-30,0.58
1995-09-28,0.19
2011-12-29,0.45
2016-09-29,0.6
1999-03-30,0.23
1999-09-29,0.23
2015-12-30,0.58
2003-09-29,0.29
2004-03-30,0.29
2013-12-31,0.51
1999-12-30,0.23
2017-06-30,0.62
2007-09-27,0.29
2008-03-28,0.32
2003-12-30,0.29
2011-09-29,0.42
2012-03-29,0.45
2015-03-30,0.54
2015-09-29,0.56
2019-03-29,0.65
2019-09-30,0.66
2003-03-28,0.29
1998-06-29,0.23
2019-12-31,0.67
2007-03-29,0.29
2002-06-27,0.29
2011-03-30,0.39
2006-06-29,0.29
2014-03-28,0.51
2014-09-29,0.52
2018-03-29,0.63
2018-09-28,0.64
1997-06-27,0.23
2018-12-31,0.65
2006-03-30,0.29
2015-12-31,0.58
2001-06-28,0.27
2010-03-30,0.36
2005-06-28,0.29
2008-12-30,0.34
2009-06-29,0.34
1996-03-28,0.19
1996-09-27,0.19
2012-12-31,0.49
2013-06-27,0.5
2014-09-30,0.52
2000-03-30,0.23
1995-12-29,0.19
2000-09-28,0.25
2016-12-29,0.61
2017-06-29,0.62
1996-12-31,0.21
2004-09-29,0.29
2000-12-29,0.25
2008-09-29,0.34
2004-12-30,0.29
2008-06-27,0.32
2012-06-28,0.47
1995-06-28,0.19
2016-06-29,0.6
1999-06-29,0.23
2003-06-27,0.29
2007-06-28,0.29
2004-06-30,0.29
2010-12-29,0.39
2011-06-29,0.42
1998-03-30,0.23
1998-09-29,0.23
2014-12-30,0.54
2015-06-29,0.56
2002-03-27,0.29
2002-09-27,0.29
2019-06-28,0.66
1998-12-30,0.23
2006-09-28,0.29
2002-12-30,0.29
2010-09-29,0.36
2006-12-29,0.29
2009-12-30,0.36
2010-06-29,0.36
1997-03-27,0.23
1997-09-29,0.23
2013-12-30,0.51
2014-06-27,0.52
2001-03-29,0.27
2001-09-27,0.27
2018-06-28,0.64
1997-12-30,0.23
2005-09-29,0.29
2001-12-28,0.29
2009-09-29,0.34
2005-12-30,0.29
2013-03-27,0.49
2013-09-27,0.5
2017-03-30,0.61
2017-09-29,0.62
1996-06-27,0.19
2017-12-29,0.63
2005-03-30,0.29
2000-06-29,0.23
2009-03-30,0.34
2004-06-29,0.29
