Date,Dividends
2018-04-27,0.07
2015-05-27,0.063
2019-08-29,0.07125
2019-02-27,0.07125
2016-03-29,0.06489
2016-09-28,0.0675
2019-05-30,0.07125
2015-12-29,0.06489
2016-06-28,0.06489
2014-11-26,0.063
2017-07-27,0.0675
2018-01-30,0.07
2018-11-29,0.07
2014-08-27,0.06
2015-02-25,0.063
2017-04-26,0.0675
2014-05-28,0.09
2018-08-30,0.07
2015-03-27,0.063
2018-02-27,0.07
2015-09-28,0.063
2018-05-30,0.07
2019-03-28,0.07125
2014-12-29,0.063
2015-06-26,0.063
2019-09-27,0.07125
2016-10-27,0.0675
2019-06-27,0.07125
2019-12-30,0.072
2016-07-27,0.06489
2017-01-27,0.0675
2017-11-29,0.07
2016-04-27,0.06489
2017-08-29,0.0675
2017-02-24,0.0675
2014-09-26,0.06
2017-05-29,0.0675
2018-03-28,0.07
2014-06-26,0.06
2018-09-27,0.07
2015-10-28,0.063
2018-06-28,0.07
2018-12-28,0.07125
2019-10-30,0.07125
2015-07-29,0.063
2016-01-27,0.06489
2016-11-28,0.0675
2019-07-30,0.07125
2015-04-28,0.063
2020-01-30,0.072
2016-08-29,0.06489
2019-04-29,0.07125
2016-05-27,0.06489
2020-02-27,0.072
2017-03-29,0.0675
2017-09-28,0.0675
2014-10-29,0.06
2016-12-28,0.0675
2017-06-28,0.0675
2017-12-28,0.07
2018-10-30,0.07
2014-07-29,0.06
2015-01-28,0.063
2015-11-26,0.063
2018-07-30,0.07
2019-01-30,0.07125
2019-11-28,0.07125
2015-08-27,0.063
2016-02-25,0.06489
