Date,Open,High,Low,Close,Adj Close,Volume
2000-03-01,2.693600,2.693600,2.693600,2.693600,0.838995,0
2000-04-01,2.244670,2.244670,1.795740,1.795740,0.559332,298
2000-05-01,1.795740,2.244670,1.795740,2.244670,0.699163,98
2000-06-01,2.244670,2.244670,1.571270,1.571270,0.489415,0
2000-07-01,1.346800,1.346800,1.346800,1.346800,0.419497,601
2000-08-01,1.346800,2.469140,1.346800,2.469140,0.769080,0
2000-09-01,2.020200,2.244670,2.020200,2.244670,0.699163,0
2000-10-01,1.346800,3.367000,1.346800,2.244670,0.699163,1702
2000-11-01,2.244670,2.244670,2.244670,2.244670,0.699163,0
2000-12-01,1.571270,1.571270,1.571270,1.571270,0.489415,0
2001-01-01,1.122330,2.469140,1.122330,2.469140,0.769080,200
2001-02-01,1.795740,1.795740,1.795740,1.795740,0.559332,298
2001-03-01,1.795740,1.795740,1.795740,1.795740,0.559332,0
2001-04-01,1.122330,1.122330,1.122330,1.122330,0.349580,0
2001-05-01,1.122330,1.122330,1.122330,1.122330,0.349580,0
2001-06-01,1.122330,1.122330,1.122330,1.122330,0.349580,0
2001-07-01,1.122330,1.122330,1.122330,1.122330,0.349580,0
2001-08-01,0.897870,0.897870,0.897870,0.897870,0.279666,0
2001-09-01,1.571270,1.571270,1.571270,1.571270,0.489415,1198
2001-10-01,2.244670,2.244670,2.244670,2.244670,0.699163,0
2001-11-01,null,null,null,null,null,null
2001-12-01,2.469140,2.469140,1.571270,1.571270,0.489415,0
2002-01-01,1.571270,1.795740,1.571270,1.795740,0.559332,0
2002-02-01,1.795740,3.254770,1.795740,3.254770,1.013786,0
2002-03-01,2.020200,2.020200,2.020200,2.020200,0.629246,196
2002-04-01,2.020200,2.244670,2.020200,2.244670,0.699163,196
2002-05-01,2.805840,3.591470,2.805840,3.591470,1.118661,802
2002-06-01,3.591470,3.591470,3.591470,3.591470,1.118661,0
2002-07-01,3.928170,3.928170,3.928170,3.928170,1.223534,0
2002-08-01,2.805840,3.479240,2.805840,3.479240,1.083703,98
2002-09-01,3.479240,3.479240,3.479240,3.479240,1.083703,0
2002-10-01,6.172840,9.539840,6.172840,9.539840,2.971441,6103
2002-11-01,9.800000,9.950000,9.250000,9.880000,3.077393,591800
2002-12-01,9.710000,9.920000,9.510000,9.850000,3.098431,362300
2003-01-01,9.850000,9.950000,9.540000,9.710000,3.084579,121800
2003-02-01,9.710000,9.750000,9.300000,9.400000,3.015308,90300
2003-03-01,9.450000,9.750000,9.000000,9.250000,2.997875,110900
2003-04-01,9.370000,9.490000,9.160000,9.200000,3.012568,139000
2003-05-01,9.300000,9.570000,9.150000,9.500000,3.143044,133000
2003-06-01,9.700000,10.090000,9.500000,9.800000,3.275536,287000
2003-07-01,9.800000,10.000000,9.800000,9.850000,3.324290,306400
2003-08-01,9.950000,10.660000,9.840000,10.660000,3.632494,441600
2003-09-01,10.660000,11.250000,10.610000,10.900000,3.750242,887600
2003-10-01,10.900000,11.720000,10.850000,11.180000,3.880563,485900
2003-11-01,11.200000,13.480000,11.200000,13.480000,4.719112,553700
2003-12-01,13.480000,14.080000,13.200000,13.750000,4.851221,544600
2004-01-01,13.750000,14.550000,13.550000,14.400000,5.115692,1589900
2004-02-01,14.280000,16.250000,14.200000,16.250000,5.772916,3657900
2004-03-01,16.379999,17.090000,15.920000,16.799999,6.005223,2641500
2004-04-01,16.799999,16.799999,14.000000,14.230000,5.115803,2094500
2004-05-01,14.450000,14.900000,13.160000,14.700000,5.320529,2108900
2004-06-01,14.770000,14.950000,14.500000,14.880000,5.422192,1335300
2004-07-01,14.880000,15.380000,14.680000,15.350000,5.631251,1068300
2004-08-01,15.350000,16.480000,15.200000,16.049999,5.929421,2944700
2004-09-01,16.049999,17.280001,16.000000,17.049999,6.340023,1803100
2004-10-01,17.000000,17.840000,16.610001,17.730000,6.633853,1403000
2004-11-01,17.600000,18.370001,17.200001,18.309999,6.892698,1584400
2004-12-01,18.400000,19.100000,17.850000,18.750000,7.099751,1080200
2005-01-01,18.750000,19.219999,18.090000,18.650000,7.101399,1059200
2005-02-01,18.650000,19.629999,18.650000,19.340000,7.404843,979800
2005-03-01,19.379999,19.379999,17.000000,17.650000,6.794725,1703800
2005-04-01,17.799999,19.590000,17.400000,18.850000,7.299995,1130000
2005-05-01,18.850000,20.750000,18.750000,20.650000,8.045087,1157500
2005-06-01,20.450001,21.650000,20.200001,21.430000,8.395409,2027500
2005-07-01,21.430000,23.850000,21.299999,23.730000,9.345632,2160500
2005-08-01,23.730000,24.190001,22.330000,23.100000,9.142654,2883700
2005-09-01,23.150000,25.889999,22.350000,25.639999,10.199301,2149500
2005-10-01,25.639999,25.750000,20.600000,22.100000,8.836103,2359200
2005-11-01,22.200001,24.299999,21.629999,23.530001,9.460096,2591200
2005-12-01,23.299999,23.750000,22.559999,23.740000,9.593040,3049100
2006-01-01,23.740000,26.250000,23.150000,25.750000,10.459180,4949200
2006-02-01,25.700001,26.340000,23.420000,26.049999,10.630453,3034500
2006-03-01,26.200001,27.750000,25.260000,26.500000,10.865012,3343100
2006-04-01,26.500000,26.500000,24.250000,24.900000,10.254641,2422800
2006-05-01,24.809999,25.190001,23.820000,24.750000,10.242676,3853800
2006-06-01,24.750000,24.830000,22.320000,24.450001,10.167927,3167400
2006-07-01,24.450001,26.080000,24.129999,25.650000,10.722932,2123400
2006-08-01,25.750000,25.799999,24.290001,25.500000,10.710270,2087800
2006-09-01,25.400000,27.670000,25.100000,27.270000,11.508868,3023500
2006-10-01,27.370001,29.400000,26.370001,28.520000,12.093134,3157800
2006-11-01,26.250000,30.389999,26.250000,28.299999,12.052248,4699500
2006-12-01,28.570000,28.570000,27.450001,27.600000,11.805824,3423600
2007-01-01,27.600000,29.790001,27.170000,29.490000,12.671695,6646200
2007-02-01,29.540001,29.760000,27.639999,28.299999,12.211758,5315500
2007-03-01,28.610001,28.760000,26.580000,27.889999,12.086458,5247666
2007-04-01,27.510000,28.400000,26.990000,27.500000,11.970601,3508869
2007-05-01,27.500000,27.580000,26.250000,27.070000,11.837131,2869517
2007-06-01,26.900000,27.500000,23.850000,25.139999,11.044236,3356239
2007-07-01,25.139999,26.700001,23.809999,24.000000,10.597273,3264813
2007-08-01,24.000000,25.000000,22.299999,23.900000,10.608256,4096249
2007-09-01,23.900000,24.850000,23.639999,24.790001,11.062678,2954222
2007-10-01,24.590000,25.799999,23.809999,25.100000,11.261545,3038629
