Date,Dividends
2007-12-07,0.45
2012-09-06,0.61
1995-03-06,0.155
2016-03-09,0.44
1995-09-06,0.16
2011-12-07,0.58
2016-09-07,0.46
1999-03-09,0.35
1999-09-08,0.35
2015-12-09,0.44
2003-09-08,0.15
2004-03-09,0.15
1999-12-08,0.35
2007-09-06,0.375
2008-03-07,0.45
2003-12-09,0.15
2011-09-07,0.55
2012-03-07,0.58
2015-03-09,0.4
2015-09-08,0.42
2019-03-08,0.545
2019-09-09,0.5625
2003-03-07,0.15
1998-06-08,0.175
2019-12-10,0.5825
2007-03-07,0.375
2002-06-06,0.15
2011-03-09,0.525
2006-06-07,0.275
2014-03-07,0.36
2014-09-08,0.38
2018-03-08,0.505
2018-09-07,0.525
1997-06-06,0.17
2018-12-10,0.545
2006-03-08,0.275
2001-06-06,0.35
2010-03-09,0.475
2005-06-08,0.2
2008-12-09,0.475
2009-06-08,0.475
1996-03-07,0.16
1996-09-06,0.165
2012-12-07,0.64
2013-06-06,0.34
2000-03-08,0.35
1995-12-07,0.16
2000-09-06,0.35
2016-12-07,0.48
2017-06-07,0.4925
1996-12-09,0.165
2004-09-08,0.15
2000-12-07,0.35
2008-09-08,0.45
2004-12-08,0.2
2008-06-06,0.45
2012-06-06,0.61
1995-06-06,0.16
2016-06-08,0.46
1999-06-08,0.35
2003-06-06,0.15
2007-06-06,0.375
2010-12-08,0.525
2011-06-08,0.55
1998-03-09,0.17
1998-09-08,0.175
2014-12-09,0.4
2015-06-08,0.42
2002-03-07,0.15
2002-09-06,0.15
2019-06-07,0.5625
1998-12-09,0.175
2006-09-06,0.275
2002-12-09,0.15
2010-09-08,0.5
2006-12-07,0.375
2009-12-09,0.475
2010-06-08,0.5
1997-03-07,0.165
1997-09-08,0.17
2013-12-09,0.36
2014-06-06,0.38
2001-03-07,0.35
2001-09-06,0.35
2018-06-07,0.525
1997-12-09,0.17
2005-09-07,0.2
2001-12-07,0.15
2009-09-08,0.475
2005-12-07,0.275
2013-03-07,0.64
2013-09-06,0.34
2017-03-08,0.48
2017-09-07,0.4925
1996-06-06,0.165
2017-12-08,0.505
2005-03-09,0.2
2000-06-07,0.35
2009-03-09,0.475
2004-06-08,0.15
