Date,Dividends
3/10/1995,0.22
6/13/1995,0.22
9/12/1995,0.22
12/12/1995,0.25
3/12/1996,0.25
6/18/1996,0.25
10/10/1996,0.25
12/17/1996,0.28
3/18/1997,0.28
6/17/1997,0.28
9/16/1997,0.28
12/16/1997,0.32
3/17/1998,0.32
6/16/1998,0.34
9/15/1998,0.34
12/15/1998,0.34
3/16/1999,0.34
7/6/1999,0.095
9/14/1999,0.19
12/14/1999,0.21
3/14/2000,0.21
6/13/2000,0.25
9/12/2000,0.25
12/12/2000,0.25
3/13/2001,0.28
6/12/2001,0.28
9/18/2001,0.28
12/18/2001,0.28
3/12/2002,0.28
6/18/2002,0.28
9/17/2002,0.28
12/17/2002,0.28
12/18/2002,0.14
3/18/2003,0.28
6/17/2003,0.28
9/16/2003,0.32
12/16/2003,0.32
3/16/2004,0.34
6/15/2004,0.34
9/14/2004,0.36
12/14/2004,0.36
3/15/2005,0.4
6/14/2005,0.4
9/13/2005,0.42
12/13/2005,0.42
3/14/2006,0.44
6/13/2006,0.44
9/12/2006,0.48
1/2/2007,0.48
4/2/2007,0.53
7/3/2007,0.53
10/1/2007,0.57
1/2/2008,0.57
4/1/2008,0.59
7/7/2008,0.59
10/1/2008,0.61
1/2/2009,0.61
4/1/2009,0.61
7/2/2009,0.61
10/1/2009,0.61
1/4/2010,0.61
4/1/2010,0.61
7/2/2010,0.61
10/1/2010,0.61
1/4/2011,0.61
4/1/2011,0.66
7/4/2011,0.66
10/3/2011,0.68
1/3/2012,0.68
4/2/2012,0.72
7/3/2012,0.72
10/1/2012,0.77
1/2/2013,0.77
4/1/2013,0.81
7/5/2013,0.81
10/1/2013,0.85
1/2/2014,0.86
4/1/2014,0.94
7/7/2014,0.94
10/1/2014,0.94
1/2/2015,0.94
4/2/2015,1.02
7/7/2015,1.02
10/2/2015,1.02
1/6/2016,1.02
4/6/2016,1.1
7/6/2016,1.1
10/5/2016,1.1
1/6/2017,1.1
4/6/2017,1.2
7/6/2017,1.2
10/5/2017,1.2
1/9/2018,1.2
4/9/2018,1.34
7/9/2018,1.34
10/9/2018,1.34
1/9/2019,1.34
4/9/2019,1.48
7/9/2019,1.48
10/9/2019,1.48
1/9/2020,1.48
