Date,Open,High,Low,Close,Adj Close,Volume
1996-08-01,1.400000,1.800000,1.400000,1.700000,0.519213,688800
1996-09-01,1.670000,1.750000,1.550000,1.750000,0.534484,1294900
1996-10-01,1.750000,2.750000,1.700000,2.550000,0.778819,1465400
1996-11-01,2.550000,4.700000,2.500000,4.500000,1.374387,2740500
1996-12-01,4.500000,4.600000,3.900000,4.500000,1.374387,3256300
1997-01-01,4.400000,5.750000,4.300000,5.100000,1.557639,2883000
1997-02-01,5.200000,5.400000,4.300000,4.300000,1.313303,1551100
1997-03-01,4.500000,4.900000,4.100000,4.250000,1.298033,1800800
1997-04-01,4.400000,4.500000,3.850000,4.200000,1.282761,1938400
1997-05-01,4.200000,5.350000,4.100000,5.200000,1.588181,3659100
1997-06-01,5.300000,6.750000,5.300000,6.750000,2.061580,3865900
1997-07-01,6.700000,6.700000,5.500000,6.500000,1.985225,2039700
1997-08-01,6.500000,7.550000,6.250000,6.950000,2.122664,1383200
1997-09-01,6.950000,9.000000,6.650000,9.000000,2.748773,4680100
1997-10-01,9.050000,9.750000,7.000000,8.550000,2.611335,2449400
1997-11-01,8.600000,9.000000,6.500000,6.900000,2.107394,1205800
1997-12-01,6.900000,8.750000,6.500000,8.250000,2.519711,1506800
1998-01-01,8.000000,8.100000,6.000000,7.550000,2.305916,1456000
1998-02-01,7.550000,7.650000,6.900000,7.650000,2.336459,2321100
1998-03-01,7.750000,8.150000,6.750000,7.750000,2.367000,5367200
1998-04-01,7.500000,9.250000,7.500000,8.750000,2.672419,5638000
1998-05-01,8.500000,9.000000,7.350000,8.000000,2.443353,1170800
1998-06-01,7.450000,7.600000,6.550000,6.700000,2.046311,1695300
1998-07-01,6.600000,7.000000,5.400000,5.500000,1.679807,1951500
1998-08-01,5.400000,5.500000,3.400000,3.500000,1.068967,2617700
1998-09-01,3.000000,4.450000,3.000000,3.660000,1.117835,4350600
1998-10-01,3.660000,4.100000,3.300000,3.900000,1.191135,1933200
1998-11-01,4.000000,5.500000,3.400000,3.400000,1.038426,886900
1998-12-01,3.400000,3.600000,2.500000,2.850000,0.870445,3861800
1999-01-01,3.000000,3.900000,2.750000,2.800000,0.855174,3706800
1999-02-01,2.850000,3.150000,2.000000,2.250000,0.687193,1885900
1999-03-01,2.250000,3.750000,2.050000,3.400000,1.038426,1917000
1999-04-01,3.500000,4.300000,3.100000,4.250000,1.298033,1598800
1999-05-01,4.100000,4.750000,3.700000,4.000000,1.221677,1830600
1999-06-01,4.000000,4.450000,3.850000,4.300000,1.313303,3709100
1999-07-01,4.250000,6.000000,4.250000,5.450000,1.664536,6278200
1999-08-01,5.400000,6.850000,5.200000,5.600000,1.710348,3478700
1999-09-01,5.800000,6.200000,5.000000,5.350000,1.633994,3423100
1999-10-01,5.150000,5.250000,4.400000,4.600000,1.404929,2398700
1999-11-01,4.550000,5.050000,4.000000,4.350000,1.328574,4266300
1999-12-01,4.380000,4.790000,4.000000,4.450000,1.359115,973100
2000-01-01,4.350000,5.400000,4.000000,5.000000,1.527095,1844800
2000-02-01,5.050000,5.950000,4.650000,5.050000,1.542368,2903500
2000-03-01,5.700000,6.500000,5.300000,6.000000,1.832516,3357200
2000-04-01,6.200000,6.500000,5.700000,5.800000,1.771432,1492800
2000-05-01,6.100000,8.100000,5.650000,7.700000,2.351727,4501100
2000-06-01,7.700000,7.900000,6.950000,7.100000,2.168478,3898000
2000-07-01,7.100000,7.200000,6.100000,6.400000,1.954684,1788000
2000-08-01,6.400000,7.850000,6.300000,7.600000,2.321186,2171300
2000-09-01,7.600000,8.650000,7.400000,8.350000,2.550252,4432200
2000-10-01,8.400000,8.850000,6.800000,7.100000,2.168478,1978900
2000-11-01,7.050000,7.750000,6.700000,7.700000,2.351727,1340700
2000-12-01,7.650000,8.250000,7.350000,8.000000,2.443353,1576500
2001-01-01,8.000000,8.150000,7.250000,7.250000,2.214291,1609700
2001-02-01,7.250000,9.450000,7.150000,8.700000,2.657147,2402000
2001-03-01,8.900000,11.900000,8.700000,11.000000,3.359613,3838200
2001-04-01,11.100000,12.400000,10.650000,11.500000,3.512321,5732300
2001-05-01,11.850000,11.850000,10.200000,11.350000,3.466509,3272400
2001-06-01,11.350000,12.500000,10.500000,10.760000,3.286311,4218300
2001-07-01,10.800000,11.000000,8.000000,9.350000,2.855669,2598900
2001-08-01,9.350000,10.000000,8.950000,9.500000,2.901483,997100
2001-09-01,9.350000,11.000000,8.750000,9.700000,2.962567,1406700
2001-10-01,9.700000,11.300000,9.100000,10.650000,3.252718,1465000
2001-11-01,10.900000,10.950000,9.000000,10.350000,3.161090,2505300
2001-12-01,10.360000,11.750000,9.600000,10.000000,3.054191,2258500
2002-01-01,9.800000,10.490000,9.460000,10.000000,3.054191,3634500
2002-02-01,10.100000,11.250000,9.900000,10.200000,3.115277,2101000
2002-03-01,10.550000,10.800000,10.100000,10.330000,3.154980,1821600
2002-04-01,10.450000,11.350000,10.110000,10.900000,3.329071,2615900
2002-05-01,10.900000,11.100000,10.250000,10.400000,3.176361,1325400
2002-06-01,10.200000,11.000000,10.000000,10.350000,3.161090,1514100
2002-07-01,10.500000,10.500000,8.600000,9.200000,2.809858,1398900
2002-08-01,9.150000,10.600000,9.010000,9.090000,2.776263,750800
2002-09-01,9.200000,9.630000,7.020000,8.400000,2.565521,1678700
2002-10-01,8.590000,10.350000,7.150000,10.300000,3.145819,4884600
2002-11-01,10.300000,11.500000,10.000000,11.060000,3.377939,26984300
2002-12-01,11.000000,11.270000,10.950000,11.200000,3.420696,4946700
2003-01-01,11.120000,13.000000,11.120000,11.900000,3.634490,22138000
2003-02-01,11.820000,12.600000,11.650000,12.540000,3.829961,11711100
2003-03-01,12.580000,12.750000,12.000000,12.300000,3.808879,6084100
2003-04-01,12.350000,12.650000,12.010000,12.450000,3.908917,5005500
